"","workerID","precision","recall","fmeasure","num_annotations","dist","dist_cluster","num_workers","num_voters"
"1",1,0.916666666666667,0.396907216494845,0.553956834532374,84,0.008,0.003,1,1
"2",2,0.919354838709677,0.293814432989691,0.4453125,62,0.008,0.003,1,1
"3",3,0.833333333333333,0.489690721649485,0.616883116883117,114,0.008,0.003,1,1
"4",4,0.921052631578947,0.360824742268041,0.518518518518518,76,0.008,0.003,1,1
"5",5,0.931506849315068,0.350515463917526,0.50936329588015,73,0.008,0.003,1,1
"6",6,0.890243902439024,0.376288659793814,0.528985507246377,82,0.008,0.003,1,1
"7",7,0.85,0.438144329896907,0.578231292517007,100,0.008,0.003,1,1
"8",8,0.771428571428571,0.556701030927835,0.646706586826347,140,0.008,0.003,1,1
"9",9,0.856,0.551546391752577,0.670846394984326,125,0.008,0.003,1,1
"10",10,0.90566037735849,0.247422680412371,0.388663967611336,53,0.008,0.003,1,1
"11",11,0.759776536312849,0.701030927835051,0.729222520107239,179,0.008,0.003,1,1
"12",12,0.779661016949153,0.711340206185567,0.743935309973046,177,0.008,0.003,1,1
"13",13,0.814814814814815,0.56701030927835,0.668693009118541,135,0.008,0.003,1,1
"14",14,0.745341614906832,0.618556701030928,0.676056338028169,161,0.008,0.003,1,1
"15",15,0.809815950920245,0.680412371134021,0.739495798319328,163,0.008,0.003,1,1
"16",16,0.823529411764706,0.432989690721650,0.567567567567568,102,0.008,0.003,1,1
"17",17,0.808,0.520618556701031,0.633228840125392,125,0.008,0.003,1,1
"18",18,0.982456140350877,0.288659793814433,0.446215139442231,57,0.008,0.003,1,1
"19",19,0.80952380952381,0.438144329896907,0.568561872909699,105,0.008,0.003,1,1
"20",20,0.819444444444444,0.608247422680412,0.698224852071006,144,0.008,0.003,1,1
"21",21,0.884615384615385,0.474226804123711,0.61744966442953,104,0.008,0.003,1,1
"22",22,0.716417910447761,0.742268041237113,0.729113924050633,201,0.008,0.003,1,1
"23",23,0.866666666666667,0.268041237113402,0.409448818897638,60,0.008,0.003,1,1
"24",24,0.96103896103896,0.381443298969072,0.546125461254612,77,0.008,0.003,1,1
"25",25,0.827586206896552,0.494845360824742,0.619354838709677,116,0.008,0.003,1,1
"26",26,0.936842105263158,0.458762886597938,0.615916955017301,95,0.008,0.003,1,1
"27",27,0.8046875,0.530927835051546,0.639751552795031,128,0.008,0.003,1,1
"28",28,0.761111111111111,0.70618556701031,0.732620320855615,180,0.008,0.003,1,1
"29",29,0.928571428571429,0.402061855670103,0.56115107913669,84,0.008,0.003,1,1
"30",30,0.938144329896907,0.469072164948454,0.625429553264605,97,0.008,0.003,1,1
"31",31,0.872093023255814,0.38659793814433,0.535714285714286,86,0.008,0.003,1,1
"32",32,0.849056603773585,0.463917525773196,0.6,106,0.008,0.003,1,1
"33",33,0.775147928994083,0.675257731958763,0.721763085399449,169,0.008,0.003,1,1
"34",34,0.853846153846154,0.572164948453608,0.685185185185185,130,0.008,0.003,1,1
"35",35,0.907894736842105,0.355670103092784,0.511111111111111,76,0.008,0.003,1,1
"36",36,0.822085889570552,0.690721649484536,0.750700280112045,163,0.008,0.003,1,1
"37",37,0.773006134969325,0.649484536082474,0.705882352941177,163,0.008,0.003,1,1
"38",38,0.77906976744186,0.345360824742268,0.478571428571429,86,0.008,0.003,1,1
"39",39,0.887096774193548,0.56701030927835,0.691823899371069,124,0.008,0.003,1,1
"40",40,0.78735632183908,0.70618556701031,0.744565217391304,174,0.008,0.003,1,1
"41",41,0.870689655172414,0.520618556701031,0.651612903225806,116,0.008,0.003,1,1
"42",42,0.751937984496124,0.5,0.60061919504644,129,0.008,0.003,1,1
"43",43,0.747191011235955,0.685567010309278,0.71505376344086,178,0.008,0.003,1,1
"44",44,0.74404761904762,0.644329896907217,0.69060773480663,168,0.008,0.003,1,1
"45",45,0.729411764705882,0.639175257731959,0.681318681318681,170,0.008,0.003,1,1
"46",46,0.883928571428571,0.510309278350515,0.647058823529412,112,0.008,0.003,1,1
"47",47,0.78448275862069,0.469072164948454,0.587096774193548,116,0.008,0.003,1,1
"48",48,0.833333333333333,0.618556701030928,0.710059171597633,144,0.008,0.003,1,1
"49",1,0.916666666666667,0.396907216494845,0.553956834532374,84,0.008,0.005,1,1
"50",2,0.919354838709677,0.293814432989691,0.4453125,62,0.008,0.005,1,1
"51",3,0.833333333333333,0.489690721649485,0.616883116883117,114,0.008,0.005,1,1
