"","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"45",0.7109375,0.65,0.67910447761194,128,1,1,0.01,0.003
"46",0.7,0.05,0.0933333333333333,10,1,1,0.01,0.003
"47",0.875,0.2,0.325581395348837,32,1,1,0.01,0.003
"48",0.611111111111111,0.785714285714286,0.6875,180,1,1,0.01,0.003
"49",0.75,0.0214285714285714,0.0416666666666667,4,1,1,0.01,0.003
"50",0.845238095238095,0.507142857142857,0.633928571428571,84,1,1,0.01,0.003
"51",0.876288659793814,0.607142857142857,0.717299578059072,97,1,1,0.01,0.003
"52",1,0.0285714285714286,0.0555555555555556,4,1,1,0.01,0.003
"53",0.86046511627907,0.528571428571429,0.654867256637168,86,1,1,0.01,0.003
"54",0.769230769230769,0.571428571428571,0.655737704918033,104,1,1,0.01,0.003
"55",1,0.0285714285714286,0.0555555555555556,4,1,1,0.01,0.003
"56",0.6,0.0214285714285714,0.0413793103448276,5,1,1,0.01,0.003
"57",0.668639053254438,0.807142857142857,0.731391585760518,169,1,1,0.01,0.003
"58",0.769230769230769,0.714285714285714,0.740740740740741,130,1,1,0.01,0.003
"59",0.93421052631579,0.507142857142857,0.657407407407407,76,1,1,0.01,0.003
"60",0.6,0.0642857142857143,0.116129032258065,15,1,1,0.01,0.003
"61",0.967741935483871,0.214285714285714,0.350877192982456,31,1,1,0.01,0.003
"62",0.8,0.0857142857142857,0.154838709677419,15,1,1,0.01,0.003
"63",1,0.228571428571429,0.372093023255814,32,1,1,0.01,0.003
"64",0.933333333333333,0.3,0.454054054054054,45,1,1,0.01,0.003
"65",0.709876543209877,0.821428571428571,0.76158940397351,162,1,1,0.01,0.003
"66",0.709876543209877,0.821428571428571,0.76158940397351,162,1,1,0.01,0.003
"67",0.755813953488372,0.464285714285714,0.575221238938053,86,1,1,0.01,0.003
"68",0.758064516129032,0.671428571428571,0.712121212121212,124,1,1,0.01,0.003
"69",0.664739884393064,0.821428571428571,0.73482428115016,173,1,1,0.01,0.003
"70",0.801724137931034,0.664285714285714,0.7265625,116,1,1,0.01,0.003
"71",1,0.00714285714285714,0.0141843971631206,1,1,1,0.01,0.003
"72",0.689922480620155,0.635714285714286,0.661710037174721,129,1,1,0.01,0.003
"73",0.657142857142857,0.821428571428571,0.73015873015873,175,1,1,0.01,0.003
"74",0.690909090909091,0.814285714285714,0.747540983606557,165,1,1,0.01,0.003
"75",0.656626506024096,0.778571428571429,0.712418300653595,166,1,1,0.01,0.003
"76",0.767857142857143,0.614285714285714,0.682539682539683,112,1,1,0.01,0.003
"77",0.672413793103448,0.557142857142857,0.609375,116,1,1,0.01,0.003
"78",0.75,0.771428571428571,0.76056338028169,144,1,1,0.01,0.003
"79",0.650273224043716,0.85,0.736842105263158,183,1,2,0.01,0.003
"80",0.857142857142857,0.428571428571429,0.571428571428571,70,1,2,0.01,0.003
"81",0.617647058823529,0.75,0.67741935483871,170,1,2,0.01,0.003
"82",0.9,0.192857142857143,0.317647058823529,30,1,2,0.01,0.003
"83",0.520833333333333,0.892857142857143,0.657894736842105,240,1,2,0.01,0.003
"84",0.644444444444444,0.828571428571429,0.725,180,1,2,0.01,0.003
"85",0.62621359223301,0.921428571428571,0.745664739884393,206,1,2,0.01,0.003
"86",0.816326530612245,0.571428571428571,0.672268907563025,98,1,2,0.01,0.003
"87",0.694656488549618,0.65,0.671586715867159,131,1,2,0.01,0.003
"88",0.568888888888889,0.914285714285714,0.701369863013699,225,1,2,0.01,0.003
"89",0.824175824175824,0.535714285714286,0.649350649350649,91,1,2,0.01,0.003
"90",0.764227642276423,0.671428571428571,0.714828897338403,123,1,2,0.01,0.003
"91",0.625698324022346,0.8,0.702194357366771,179,1,2,0.01,0.003
"92",0.666666666666667,0.142857142857143,0.235294117647059,30,1,2,0.01,0.003
"93",0.870967741935484,0.385714285714286,0.534653465346535,62,1,2,0.01,0.003
"94",0.566502463054187,0.821428571428571,0.670553935860058,203,1,2,0.01,0.003
"95",0.584541062801932,0.864285714285714,0.697406340057637,207,1,2,0.01,0.003
"96",0.646341463414634,0.757142857142857,0.697368421052632,164,1,2,0.01,0.003
"97",0.594202898550725,0.878571428571429,0.70893371757925,207,1,2,0.01,0.003
"98",0.603260869565217,0.792857142857143,0.685185185185185,184,1,2,0.01,0.003
"99",0.892857142857143,0.357142857142857,0.510204081632653,56,1,2,0.01,0.003
"100",0.737226277372263,0.721428571428571,0.729241877256318,137,1,2,0.01,0.003
"101",0.909090909090909,0.285714285714286,0.434782608695652,44,1,2,0.01,0.003
"102",0.833333333333333,0.392857142857143,0.533980582524272,66,1,2,0.01,0.003
"103",0.935483870967742,0.207142857142857,0.339181286549708,31,1,2,0.01,0.003
"104",0.657894736842105,0.714285714285714,0.684931506849315,152,1,2,0.01,0.003
"105",0.740458015267176,0.692857142857143,0.715867158671587,131,1,2,0.01,0.003
"106",0.703448275862069,0.728571428571429,0.71578947368421,145,1,2,0.01,0.003
"107",0.508064516129032,0.9,0.649484536082474,248,1,2,0.01,0.003
