"","iteration","instance","precision","recall","fmeasure","num_annotations"
"1",1,120,0.802631578947368,0.628865979381443,0.705202312138728,152
"2",2,120,0.763636363636364,0.649484536082474,0.701949860724234,165
"3",3,120,0.834437086092715,0.649484536082474,0.730434782608696,151
"4",4,120,0.848275862068966,0.634020618556701,0.725663716814159,145
"5",5,120,0.860759493670886,0.701030927835051,0.772727272727273,158
"6",6,120,0.865384615384615,0.695876288659794,0.771428571428571,156
"7",7,120,0.858108108108108,0.654639175257732,0.742690058479532,148
"8",1,122,0.727777777777778,0.675257731958763,0.700534759358289,180
"9",2,122,0.714285714285714,0.695876288659794,0.704960835509138,189
"10",3,122,0.677725118483412,0.737113402061856,0.706172839506173,211
"11",4,122,0.702830188679245,0.768041237113402,0.733990147783251,212
"12",5,122,0.735,0.757731958762887,0.746192893401015,200
"13",6,122,0.797687861271676,0.711340206185567,0.752043596730245,173
"14",7,122,0.797687861271676,0.711340206185567,0.752043596730245,173
"15",8,122,0.568773234200744,0.788659793814433,0.660907127429806,269
"16",9,122,0.572992700729927,0.809278350515464,0.670940170940171,274
"17",1,116,0.886075949367089,0.360824742268041,0.512820512820513,79
"18",2,116,0.886075949367089,0.360824742268041,0.512820512820513,79
"19",3,116,0.894736842105263,0.350515463917526,0.503703703703704,76
"20",4,116,0.9,0.278350515463918,0.425196850393701,60
"21",5,116,0.740384615384615,0.396907216494845,0.516778523489933,104
"22",6,116,0.891566265060241,0.381443298969072,0.534296028880866,83
"23",7,116,0.876543209876543,0.365979381443299,0.516363636363636,81
"24",8,116,0.888888888888889,0.371134020618557,0.523636363636364,81
"25",1,115,0.756906077348066,0.70618556701031,0.730666666666667,181
"26",2,115,0.751381215469613,0.701030927835051,0.725333333333333,181
"27",3,115,0.731182795698925,0.701030927835051,0.71578947368421,186
"28",4,115,0.72192513368984,0.695876288659794,0.708661417322835,187
"29",5,115,0.728571428571429,0.788659793814433,0.757425742574257,210
"30",6,115,0.733990147783251,0.768041237113402,0.750629722921914,203
"31",7,115,0.663829787234043,0.804123711340206,0.727272727272727,235
"32",8,115,0.665217391304348,0.788659793814433,0.721698113207547,230
"33",9,115,0.669565217391304,0.79381443298969,0.726415094339623,230
"34",1,112,0.197247706422018,0.88659793814433,0.322701688555347,872
"35",2,112,0.232727272727273,0.65979381443299,0.344086021505376,550
"36",3,112,0.2375,0.783505154639175,0.364508393285372,640
"37",4,112,0.403755868544601,0.88659793814433,0.554838709677419,426
"38",5,112,0.56,0.865979381443299,0.680161943319838,300
"39",6,112,0.611320754716981,0.835051546391753,0.705882352941176,265
"40",7,112,0.635245901639344,0.798969072164949,0.707762557077626,244
"41",8,112,0.636734693877551,0.804123711340206,0.710706150341686,245
"42",9,112,0.629482071713147,0.814432989690722,0.710112359550562,251
"43",1,142,0.789473684210526,0.695876288659794,0.73972602739726,171
"44",2,142,0.723502304147465,0.809278350515464,0.763990267639903,217
"45",3,142,0.743961352657005,0.79381443298969,0.768079800498753,207
"46",4,142,0.721461187214612,0.814432989690722,0.765133171912833,219
"47",5,142,0.637931034482759,0.762886597938144,0.694835680751174,232
"48",6,142,0.610655737704918,0.768041237113402,0.680365296803653,244
"49",7,142,0.609053497942387,0.762886597938144,0.677345537757437,243
"50",8,142,0.624,0.804123711340206,0.702702702702703,250
"51",9,142,0.615686274509804,0.809278350515464,0.699331848552339,255
"52",1,141,0.584699453551913,0.551546391752577,0.56763925729443,183
"53",2,141,0.626086956521739,0.742268041237113,0.679245283018868,230
"54",3,141,0.615384615384615,0.742268041237113,0.672897196261682,234
"55",4,141,0.617021276595745,0.747422680412371,0.675990675990676,235
"56",5,141,0.607287449392713,0.77319587628866,0.680272108843537,247
"57",6,141,0.706467661691542,0.731958762886598,0.718987341772152,201
"58",7,141,0.678899082568807,0.762886597938144,0.718446601941748,218
"59",8,141,0.66079295154185,0.77319587628866,0.712589073634204,227
"60",9,141,0.662280701754386,0.778350515463918,0.71563981042654,228
"61",1,145,0.7,0.685567010309278,0.692708333333333,190
"62",2,145,0.696335078534031,0.685567010309278,0.690909090909091,191
"63",3,145,0.65843621399177,0.824742268041237,0.732265446224256,243
"64",4,145,0.564189189189189,0.860824742268041,0.681632653061224,296
"65",5,145,0.544554455445545,0.850515463917526,0.663983903420523,303
"66",6,145,0.613636363636364,0.835051546391753,0.707423580786026,264
"67",7,145,0.591603053435115,0.798969072164949,0.679824561403509,262
"68",8,145,0.581481481481481,0.809278350515464,0.676724137931034,270
"69",9,145,0.612403100775194,0.814432989690722,0.699115044247788,258
"70",1,143,0.704545454545455,0.639175257731959,0.67027027027027,176
"71",2,143,0.669527896995708,0.804123711340206,0.730679156908665,233
"72",3,143,0.662447257383966,0.809278350515464,0.728538283062645,237
"73",4,143,0.662447257383966,0.809278350515464,0.728538283062645,237
"74",5,143,0.644897959183673,0.814432989690722,0.719817767653758,245
"75",6,143,0.670781893004115,0.84020618556701,0.745995423340961,243
"76",7,143,0.625498007968127,0.809278350515464,0.70561797752809,251
"77",8,143,0.619230769230769,0.829896907216495,0.709251101321586,260
"78",9,143,0.614173228346457,0.804123711340206,0.696428571428572,254
"79",1,147,0.726829268292683,0.768041237113402,0.7468671679198,205
"80",2,147,0.718446601941748,0.762886597938144,0.74,206
"81",3,147,0.652360515021459,0.783505154639175,0.711943793911007,233
"82",4,147,0.616,0.79381443298969,0.693693693693694,250
"83",5,147,0.528,0.680412371134021,0.594594594594595,250
"84",6,147,0.618604651162791,0.685567010309278,0.650366748166259,215
"85",7,147,0.618181818181818,0.701030927835051,0.657004830917874,220
"86",8,147,0.622222222222222,0.721649484536082,0.668257756563246,225
"87",9,147,0.604938271604938,0.757731958762887,0.672768878718536,243
"88",1,140,0.690140845070423,0.757731958762887,0.722358722358722,213
"89",2,140,0.688372093023256,0.762886597938144,0.723716381418093,215
"90",3,140,0.644351464435146,0.79381443298969,0.711316397228637,239
"91",4,140,0.662393162393162,0.798969072164949,0.724299065420561,234
"92",5,140,0.652892561983471,0.814432989690722,0.724770642201835,242
"93",6,140,0.687224669603524,0.804123711340206,0.741092636579572,227
"94",7,140,0.682819383259912,0.798969072164949,0.736342042755344,227
"95",8,140,0.688311688311688,0.819587628865979,0.748235294117647,231
"96",9,140,0.693333333333333,0.804123711340206,0.744630071599045,225
"97",1,138,0.71604938271605,0.597938144329897,0.651685393258427,162
"98",2,138,0.71604938271605,0.597938144329897,0.651685393258427,162
"99",3,138,0.726315789473684,0.711340206185567,0.71875,190
"100",4,138,0.728205128205128,0.731958762886598,0.730077120822622,195
"101",5,138,0.724137931034483,0.757731958762887,0.740554156171285,203
"102",6,138,0.68609865470852,0.788659793814433,0.733812949640288,223
"103",7,138,0.662337662337662,0.788659793814433,0.72,231
"104",8,138,0.626609442060086,0.752577319587629,0.68384074941452,233
"105",1,146,0.681592039800995,0.70618556701031,0.69367088607595,201
"106",2,146,0.681592039800995,0.70618556701031,0.69367088607595,201
"107",3,146,0.656108597285068,0.747422680412371,0.698795180722892,221
"108",4,146,0.603238866396761,0.768041237113402,0.675736961451247,247
"109",5,146,0.60546875,0.798969072164949,0.688888888888889,256
"110",6,146,0.648979591836735,0.819587628865979,0.724373576309795,245
"111",7,146,0.641129032258065,0.819587628865979,0.71945701357466,248
"112",8,146,0.585964912280702,0.860824742268041,0.697286012526096,285
"113",9,146,0.582456140350877,0.855670103092783,0.693110647181628,285
"114",1,139,0.736040609137056,0.747422680412371,0.741687979539642,197
"115",2,139,0.736040609137056,0.747422680412371,0.741687979539642,197
"116",3,139,0.726415094339623,0.79381443298969,0.758620689655172,212
"117",4,139,0.678111587982833,0.814432989690722,0.740046838407494,233
"118",5,139,0.691964285714286,0.798969072164949,0.741626794258373,224
"119",6,139,0.676724137931034,0.809278350515464,0.737089201877934,232
"120",7,139,0.672199170124481,0.835051546391753,0.744827586206897,241
"121",8,139,0.71889400921659,0.804123711340206,0.759124087591241,217
"122",9,139,0.586206896551724,0.876288659793814,0.702479338842975,290
"123",1,144,0.648305084745763,0.788659793814433,0.711627906976744,236
"124",2,144,0.630522088353414,0.809278350515464,0.708803611738149,249
"125",3,144,0.672566371681416,0.783505154639175,0.723809523809524,226
"126",4,144,0.693693693693694,0.79381443298969,0.740384615384616,222
"127",5,144,0.688372093023256,0.762886597938144,0.723716381418093,215
"128",6,144,0.580645161290323,0.835051546391753,0.684989429175476,279
"129",7,144,0.583629893238434,0.845360824742268,0.690526315789474,281
