"","X","workerID","precision","recall","fmeasure","num_annotations","dist","dist_cluster","num_workers","num_voters"
"13318",13318,22,0.741293532338308,0.768041237113402,0.754430379746835,201,0.007,0.007,1,1
"13319",13319,23,0.866666666666667,0.268041237113402,0.409448818897638,60,0.007,0.007,1,1
"13320",13320,24,0.96103896103896,0.381443298969072,0.546125461254612,77,0.007,0.007,1,1
"13321",13321,25,0.758620689655172,0.45360824742268,0.567741935483871,116,0.007,0.007,1,1
"13322",13322,26,0.91578947368421,0.448453608247423,0.602076124567474,95,0.007,0.007,1,1
"13323",13323,27,0.796875,0.525773195876289,0.633540372670808,128,0.007,0.007,1,1
"13324",13324,28,0.761111111111111,0.70618556701031,0.732620320855615,180,0.007,0.007,1,1
"13325",13325,29,0.92857142857143,0.402061855670103,0.56115107913669,84,0.007,0.007,1,1
"13326",13326,30,0.938144329896907,0.469072164948454,0.625429553264605,97,0.007,0.007,1,1
"13327",13327,31,0.895348837209302,0.396907216494845,0.55,86,0.007,0.007,1,1
"13328",13328,32,0.81132075471698,0.443298969072165,0.573333333333333,106,0.007,0.007,1,1
"13329",13329,33,0.781065088757396,0.680412371134021,0.727272727272727,169,0.007,0.007,1,1
"13330",13330,34,0.876923076923077,0.587628865979381,0.703703703703704,130,0.007,0.007,1,1
"13331",13331,35,0.921052631578947,0.360824742268041,0.518518518518518,76,0.007,0.007,1,1
"13332",13332,36,0.785276073619632,0.65979381443299,0.717086834733894,163,0.007,0.007,1,1
"13333",13333,37,0.766871165644172,0.644329896907217,0.700280112044818,163,0.007,0.007,1,1
"13334",13334,38,0.77906976744186,0.345360824742268,0.478571428571429,86,0.007,0.007,1,1
"13335",13335,39,0.887096774193548,0.56701030927835,0.691823899371069,124,0.007,0.007,1,1
"13336",13336,40,0.781609195402299,0.701030927835051,0.739130434782609,174,0.007,0.007,1,1
"13337",13337,41,0.853448275862069,0.510309278350515,0.638709677419355,116,0.007,0.007,1,1
"13338",13338,42,0.72093023255814,0.479381443298969,0.575851393188854,129,0.007,0.007,1,1
"13339",13339,43,0.730337078651685,0.670103092783505,0.698924731182796,178,0.007,0.007,1,1
"13340",13340,44,0.738095238095238,0.639175257731959,0.685082872928177,168,0.007,0.007,1,1
"13341",13341,45,0.694117647058824,0.608247422680412,0.648351648351648,170,0.007,0.007,1,1
"13342",13342,46,0.857142857142857,0.494845360824742,0.627450980392157,112,0.007,0.007,1,1
"13343",13343,47,0.767241379310345,0.458762886597938,0.574193548387097,116,0.007,0.007,1,1
"13344",13344,48,0.833333333333333,0.618556701030928,0.710059171597633,144,0.007,0.007,1,1
"13345",13345,1,0.771653543307087,0.505154639175258,0.610591900311526,127,0.007,0.007,2,1
"13346",13346,2,0.84,0.541237113402062,0.658307210031348,125,0.007,0.007,2,1
"13347",13347,3,0.669456066945607,0.824742268041237,0.739030023094688,239,0.007,0.007,2,1
"13348",13348,4,0.765822784810127,0.623711340206186,0.6875,158,0.007,0.007,2,1
"13349",13349,5,0.85981308411215,0.474226804123711,0.611295681063123,107,0.007,0.007,2,1
"13350",13350,6,0.777070063694268,0.628865979381443,0.695156695156695,157,0.007,0.007,2,1
"13351",13351,7,0.80891719745223,0.654639175257732,0.723646723646724,157,0.007,0.007,2,1
"13352",13352,8,0.686746987951807,0.587628865979381,0.633333333333333,166,0.007,0.007,2,1
"13353",13353,9,0.814569536423841,0.634020618556701,0.71304347826087,151,0.007,0.007,2,1
"13354",13354,10,0.764044943820225,0.350515463917526,0.480565371024735,89,0.007,0.007,2,1
"13355",13355,11,0.729885057471264,0.654639175257732,0.690217391304348,174,0.007,0.007,2,1
"13356",13356,12,0.721649484536082,0.721649484536082,0.721649484536083,194,0.007,0.007,2,1
"13357",13357,13,0.844155844155844,0.670103092783505,0.747126436781609,154,0.007,0.007,2,1
"13358",13358,14,0.733695652173913,0.695876288659794,0.714285714285714,184,0.007,0.007,2,1
"13359",13359,15,0.801470588235294,0.561855670103093,0.66060606060606,136,0.007,0.007,2,1
"13360",13360,16,0.748603351955307,0.690721649484536,0.718498659517426,179,0.007,0.007,2,1
"13361",13361,17,0.81651376146789,0.458762886597938,0.587458745874587,109,0.007,0.007,2,1
"13362",13362,18,0.775280898876405,0.711340206185567,0.741935483870968,178,0.007,0.007,2,1
"13363",13363,19,0.754285714285714,0.680412371134021,0.715447154471545,175,0.007,0.007,2,1
"13364",13364,20,0.720238095238095,0.623711340206186,0.668508287292818,168,0.007,0.007,2,1
"13365",13365,21,0.835164835164835,0.391752577319588,0.533333333333333,91,0.007,0.007,2,1
"13366",13366,22,0.677272727272727,0.768041237113402,0.719806763285024,220,0.007,0.007,2,1
"13367",13367,23,0.712707182320442,0.664948453608247,0.688,181,0.007,0.007,2,1
"13368",13368,24,0.703703703703704,0.783505154639175,0.741463414634146,216,0.007,0.007,2,1
"13369",13369,25,0.739130434782609,0.701030927835051,0.71957671957672,184,0.007,0.007,2,1
"13370",13370,26,0.726708074534162,0.603092783505155,0.659154929577465,161,0.007,0.007,2,1
"13371",13371,27,0.672489082969432,0.79381443298969,0.728132387706856,229,0.007,0.007,2,1
"13372",13372,28,0.676328502415459,0.721649484536082,0.698254364089776,207,0.007,0.007,2,1
"13373",13373,29,0.682539682539683,0.664948453608247,0.673629242819843,189,0.007,0.007,2,1
"13374",13374,30,0.74468085106383,0.721649484536082,0.732984293193717,188,0.007,0.007,2,1
"13375",13375,31,0.754098360655738,0.711340206185567,0.73209549071618,183,0.007,0.007,2,1
"13376",13376,32,0.784431137724551,0.675257731958763,0.725761772853186,167,0.007,0.007,2,1
"13377",13377,33,0.712041884816754,0.701030927835051,0.706493506493506,191,0.007,0.007,2,1
"13378",13378,34,0.725,0.448453608247423,0.554140127388535,120,0.007,0.007,2,1
"13379",13379,35,0.740740740740741,0.721649484536082,0.731070496083551,189,0.007,0.007,2,1
"13380",13380,36,0.73780487804878,0.623711340206186,0.675977653631285,164,0.007,0.007,2,1
"13381",13381,37,0.821656050955414,0.664948453608247,0.735042735042735,157,0.007,0.007,2,1
"13382",13382,38,0.714285714285714,0.77319587628866,0.742574257425743,210,0.007,0.007,2,1
"13383",13383,39,0.778350515463918,0.778350515463918,0.778350515463918,194,0.007,0.007,2,1
"13384",13384,40,0.7,0.721649484536082,0.710659898477157,200,0.007,0.007,2,1
"13385",13385,41,0.68421052631579,0.737113402061856,0.709677419354839,209,0.007,0.007,2,1
"13386",13386,42,0.666666666666667,0.762886597938144,0.711538461538462,222,0.007,0.007,2,1
"13387",13387,43,0.782051282051282,0.628865979381443,0.697142857142857,156,0.007,0.007,2,1
"13388",13388,44,0.879032258064516,0.561855670103093,0.685534591194969,124,0.007,0.007,2,1
"13389",13389,45,0.908333333333333,0.561855670103093,0.694267515923567,120,0.007,0.007,2,1
"13390",13390,46,0.836879432624113,0.608247422680412,0.704477611940298,141,0.007,0.007,2,1
"13391",13391,47,0.69377990430622,0.747422680412371,0.719602977667494,209,0.007,0.007,2,1
"13392",13392,48,0.794520547945205,0.597938144329897,0.68235294117647,146,0.007,0.007,2,1
"13393",13393,49,0.761111111111111,0.70618556701031,0.732620320855615,180,0.007,0.007,2,1
"13394",13394,50,0.754601226993865,0.634020618556701,0.6890756302521,163,0.007,0.007,2,1
"13395",13395,51,0.864197530864197,0.360824742268041,0.509090909090909,81,0.007,0.007,2,1
"13396",13396,52,0.721518987341772,0.587628865979381,0.647727272727273,158,0.007,0.007,2,1
"13397",13397,53,0.728723404255319,0.70618556701031,0.717277486910995,188,0.007,0.007,2,1
"13398",13398,54,0.695238095238095,0.752577319587629,0.722772277227723,210,0.007,0.007,2,1
"13399",13399,55,0.82051282051282,0.65979381443299,0.731428571428571,156,0.007,0.007,2,1
"13400",13400,56,0.756756756756757,0.577319587628866,0.654970760233918,148,0.007,0.007,2,1
"13401",13401,57,0.698564593301435,0.752577319587629,0.724565756823821,209,0.007,0.007,2,1
"13402",13402,58,0.794871794871795,0.639175257731959,0.708571428571429,156,0.007,0.007,2,1
"13403",13403,59,0.631147540983607,0.79381443298969,0.703196347031964,244,0.007,0.007,2,1
"13404",13404,60,0.772727272727273,0.61340206185567,0.683908045977011,154,0.007,0.007,2,1
"13405",13405,61,0.770114942528736,0.690721649484536,0.728260869565217,174,0.007,0.007,2,1
"13406",13406,62,0.69060773480663,0.644329896907217,0.666666666666667,181,0.007,0.007,2,1
"13407",13407,63,0.737113402061856,0.737113402061856,0.737113402061856,194,0.007,0.007,2,1
"13408",13408,64,0.769230769230769,0.670103092783505,0.71625344352617,169,0.007,0.007,2,1
"13409",13409,65,0.794326241134752,0.577319587628866,0.66865671641791,141,0.007,0.007,2,1
"13410",13410,66,0.798701298701299,0.634020618556701,0.706896551724138,154,0.007,0.007,2,1
"13411",13411,67,0.851239669421488,0.530927835051546,0.653968253968254,121,0.007,0.007,2,1
"13412",13412,68,0.68103448275862,0.814432989690722,0.741784037558685,232,0.007,0.007,2,1
"13413",13413,69,0.74054054054054,0.70618556701031,0.722955145118733,185,0.007,0.007,2,1
"13414",13414,70,0.727748691099476,0.716494845360825,0.722077922077922,191,0.007,0.007,2,1
"13415",13415,71,0.7421875,0.489690721649485,0.590062111801242,128,0.007,0.007,2,1
"13416",13416,72,0.75776397515528,0.628865979381443,0.687323943661972,161,0.007,0.007,2,1
"13417",13417,73,0.826771653543307,0.541237113402062,0.654205607476635,127,0.007,0.007,2,1
"13418",13418,74,0.678217821782178,0.70618556701031,0.691919191919192,202,0.007,0.007,2,1
"13419",13419,75,0.769230769230769,0.515463917525773,0.617283950617284,130,0.007,0.007,2,1
"13420",13420,76,0.705882352941177,0.680412371134021,0.692913385826772,187,0.007,0.007,2,1
"13421",13421,77,0.697802197802198,0.654639175257732,0.675531914893617,182,0.007,0.007,2,1
"13422",13422,78,0.836879432624113,0.608247422680412,0.704477611940298,141,0.007,0.007,2,1
"13423",13423,79,0.825174825174825,0.608247422680412,0.700296735905044,143,0.007,0.007,2,1
"13424",13424,80,0.851063829787234,0.618556701030928,0.716417910447761,141,0.007,0.007,2,1
"13425",13425,81,0.745098039215686,0.587628865979381,0.657060518731988,153,0.007,0.007,2,1
"13426",13426,82,0.784313725490196,0.618556701030928,0.69164265129683,153,0.007,0.007,2,1
"13427",13427,83,0.80921052631579,0.634020618556701,0.710982658959538,152,0.007,0.007,2,1
"13428",13428,84,0.632075471698113,0.690721649484536,0.660098522167488,212,0.007,0.007,2,1
"13429",13429,85,0.832167832167832,0.61340206185567,0.706231454005935,143,0.007,0.007,2,1
"13430",13430,86,0.651041666666667,0.644329896907217,0.647668393782383,192,0.007,0.007,2,1
"13431",13431,87,0.712041884816754,0.701030927835051,0.706493506493506,191,0.007,0.007,2,1
"13432",13432,88,0.704433497536946,0.737113402061856,0.720403022670025,203,0.007,0.007,2,1
"13433",13433,89,0.72680412371134,0.72680412371134,0.72680412371134,194,0.007,0.007,2,1
"13434",13434,90,0.794871794871795,0.639175257731959,0.708571428571429,156,0.007,0.007,2,1
"13435",13435,91,0.821782178217822,0.427835051546392,0.56271186440678,101,0.007,0.007,2,1
"13436",13436,92,0.767955801104972,0.716494845360825,0.741333333333333,181,0.007,0.007,2,1
"13437",13437,93,0.771428571428571,0.556701030927835,0.646706586826347,140,0.007,0.007,2,1
"13438",13438,94,0.75,0.587628865979381,0.658959537572254,152,0.007,0.007,2,1
"13439",13439,95,0.75,0.711340206185567,0.73015873015873,184,0.007,0.007,2,1
"13440",13440,96,0.702830188679245,0.768041237113402,0.733990147783251,212,0.007,0.007,2,1
"13441",13441,97,0.717073170731707,0.757731958762887,0.736842105263158,205,0.007,0.007,2,1
"13442",13442,98,0.709677419354839,0.56701030927835,0.630372492836676,155,0.007,0.007,2,1
"13443",13443,99,0.725490196078431,0.572164948453608,0.639769452449568,153,0.007,0.007,2,1
"13444",13444,100,0.852112676056338,0.623711340206186,0.720238095238095,142,0.007,0.007,2,1
"13445",13445,101,0.7875,0.649484536082474,0.711864406779661,160,0.007,0.007,2,1
"13446",13446,102,0.698412698412698,0.680412371134021,0.689295039164491,189,0.007,0.007,2,1
"13447",13447,103,0.663461538461538,0.711340206185567,0.686567164179104,208,0.007,0.007,2,1
"13448",13448,104,0.754601226993865,0.634020618556701,0.6890756302521,163,0.007,0.007,2,1
"13449",13449,105,0.791044776119403,0.54639175257732,0.646341463414634,134,0.007,0.007,2,1
"13450",13450,106,0.780141843971631,0.56701030927835,0.656716417910448,141,0.007,0.007,2,1
"13451",13451,107,0.716494845360825,0.716494845360825,0.716494845360825,194,0.007,0.007,2,1
"13452",13452,108,0.83495145631068,0.443298969072165,0.579124579124579,103,0.007,0.007,2,1
"13453",13453,109,0.768361581920904,0.701030927835051,0.733153638814016,177,0.007,0.007,2,1
"13454",13454,110,0.71219512195122,0.752577319587629,0.731829573934837,205,0.007,0.007,2,1
"13455",13455,111,0.871559633027523,0.489690721649485,0.627062706270627,109,0.007,0.007,2,1
"13456",13456,112,0.663677130044843,0.762886597938144,0.709832134292566,223,0.007,0.007,2,1
"13457",13457,113,0.724137931034483,0.43298969072165,0.541935483870968,116,0.007,0.007,2,1
"13458",13458,114,0.677272727272727,0.768041237113402,0.719806763285024,220,0.007,0.007,2,1
"13459",13459,115,0.744444444444444,0.690721649484536,0.716577540106952,180,0.007,0.007,2,1
"13460",13460,116,0.72680412371134,0.72680412371134,0.72680412371134,194,0.007,0.007,2,1
"13461",13461,117,0.826388888888889,0.61340206185567,0.70414201183432,144,0.007,0.007,2,1
"13462",13462,118,0.876811594202899,0.623711340206186,0.728915662650602,138,0.007,0.007,2,1
"13463",13463,119,0.767741935483871,0.61340206185567,0.681948424068768,155,0.007,0.007,2,1
"13464",13464,120,0.808695652173913,0.479381443298969,0.601941747572815,115,0.007,0.007,2,1
"13465",13465,121,0.730769230769231,0.685567010309278,0.707446808510638,182,0.007,0.007,2,1
"13466",13466,122,0.777777777777778,0.685567010309278,0.728767123287671,171,0.007,0.007,2,1
"13467",13467,123,0.767567567567568,0.731958762886598,0.74934036939314,185,0.007,0.007,2,1
"13468",13468,124,0.832116788321168,0.587628865979381,0.688821752265861,137,0.007,0.007,2,1
"13469",13469,125,0.61344537815126,0.752577319587629,0.675925925925926,238,0.007,0.007,2,1
"13470",13470,126,0.764331210191083,0.618556701030928,0.683760683760684,157,0.007,0.007,2,1
"13471",13471,127,0.66990291262136,0.711340206185567,0.69,206,0.007,0.007,2,1
"13472",13472,128,0.729411764705882,0.639175257731959,0.681318681318681,170,0.007,0.007,2,1
"13473",13473,129,0.748571428571429,0.675257731958763,0.710027100271003,175,0.007,0.007,2,1
"13474",13474,130,0.710982658959538,0.634020618556701,0.670299727520436,173,0.007,0.007,2,1
"13475",13475,131,0.816793893129771,0.551546391752577,0.658461538461539,131,0.007,0.007,2,1
"13476",13476,132,0.769662921348315,0.70618556701031,0.736559139784946,178,0.007,0.007,2,1
"13477",13477,133,0.8,0.701030927835051,0.747252747252747,170,0.007,0.007,2,1
"13478",13478,134,0.833333333333333,0.463917525773196,0.596026490066225,108,0.007,0.007,2,1
"13479",13479,135,0.733333333333333,0.623711340206186,0.674094707520891,165,0.007,0.007,2,1
"13480",13480,136,0.717391304347826,0.680412371134021,0.698412698412698,184,0.007,0.007,2,1
"13481",13481,137,0.830882352941177,0.582474226804124,0.684848484848485,136,0.007,0.007,2,1
"13482",13482,138,0.725274725274725,0.680412371134021,0.702127659574468,182,0.007,0.007,2,1
"13483",13483,139,0.892857142857143,0.515463917525773,0.65359477124183,112,0.007,0.007,2,1
"13484",13484,140,0.703349282296651,0.757731958762887,0.729528535980149,209,0.007,0.007,2,1
"13485",13485,141,0.861788617886179,0.54639175257732,0.668769716088328,123,0.007,0.007,2,1
"13486",13486,142,0.7984496124031,0.530927835051546,0.637770897832817,129,0.007,0.007,2,1
"13487",13487,143,0.797619047619048,0.690721649484536,0.740331491712707,168,0.007,0.007,2,1
"13488",13488,144,0.740740740740741,0.721649484536082,0.731070496083551,189,0.007,0.007,2,1
"13489",13489,145,0.684873949579832,0.84020618556701,0.75462962962963,238,0.007,0.007,2,1
"13490",13490,146,0.659090909090909,0.747422680412371,0.70048309178744,220,0.007,0.007,2,1
"13491",13491,147,0.706214689265537,0.644329896907217,0.673854447439353,177,0.007,0.007,2,1
"13492",13492,148,0.772151898734177,0.628865979381443,0.693181818181818,158,0.007,0.007,2,1
"13493",13493,149,0.813432835820896,0.561855670103093,0.664634146341463,134,0.007,0.007,2,1
"13494",13494,150,0.72972972972973,0.695876288659794,0.712401055408971,185,0.007,0.007,2,1
"13645",13645,1,0.707446808510638,0.685567010309278,0.696335078534032,188,0.007,0.007,3,1
"13646",13646,2,0.675438596491228,0.79381443298969,0.729857819905213,228,0.007,0.007,3,1
"13647",13647,3,0.694174757281553,0.737113402061856,0.715,206,0.007,0.007,3,1
"13648",13648,4,0.75,0.634020618556701,0.687150837988827,164,0.007,0.007,3,1
"13649",13649,5,0.760869565217391,0.541237113402062,0.632530120481928,138,0.007,0.007,3,1
"13650",13650,6,0.646288209606987,0.762886597938144,0.699763593380615,229,0.007,0.007,3,1
"13651",13651,7,0.68995633187773,0.814432989690722,0.747044917257683,229,0.007,0.007,3,1
"13652",13652,8,0.728395061728395,0.608247422680412,0.662921348314607,162,0.007,0.007,3,1
"13653",13653,9,0.657276995305164,0.721649484536082,0.687960687960688,213,0.007,0.007,3,1
"13654",13654,10,0.702127659574468,0.680412371134021,0.69109947643979,188,0.007,0.007,3,1
"13655",13655,11,0.739795918367347,0.747422680412371,0.743589743589744,196,0.007,0.007,3,1
"13656",13656,12,0.659192825112108,0.757731958762887,0.705035971223022,223,0.007,0.007,3,1
