lon,lat,assignID,workerID
-72.3440090448094,18.5548731908728,230,lars
-72.3439728349877,18.5547752935838,230,lars
-72.3437917858791,18.5549126040513,230,lars
-72.3438092202377,18.5548426774381,230,lars
-72.3439111441803,18.5547536798891,230,lars
-72.3438387245369,18.5547269806153,230,lars
-72.3437998325062,18.5547307947975,230,lars
-72.3437005907726,18.5547104524913,230,lars
-72.3435959846211,18.5546532397423,230,lars
-72.3436120778752,18.5547549512829,230,lars
-72.343579891367,18.5548108926045,230,lars
-72.343577209158,18.5548909903739,230,lars
-72.3435986668301,18.5549469316509,230,lars
-72.3436737686825,18.5548592055493,230,lars
-72.3436818153095,18.5548274207187,230,lars
-72.3433948189449,18.5546087409241,230,lars
-72.3433867723179,18.5547295234035,230,lars
-72.3433787256909,18.5547816505523,230,lars
-72.3433720201683,18.5548528485836,230,lars
-72.3433814078999,18.5548388632584,230,lars
-72.3436134189797,18.5543837038663,230,lars
-72.3437502116394,18.5544040462114,230,lars
-72.3438253134918,18.5544460022905,230,lars
-72.3438910276127,18.5544447308943,230,lars
-72.3439969748688,18.554498129526,230,lars
-72.3440935343933,18.5545210146487,230,lars
-72.3441163331699,18.5543837038663,230,lars
-72.3440237969589,18.5543875180562,230,lars
-72.3438735932541,18.5543150484336,230,lars
-72.3436107367706,18.5542298648029,230,lars
-72.3436576754284,18.5541662949015,230,lars
-72.3438440889549,18.55415230952,230,lars
-72.3441096276474,18.554234950394,230,lars
-72.3441444963646,18.5541294243479,230,lars
-72.3441069454384,18.5543188626251,230,lars
-72.3438668877316,18.5542591069496,230,lars
-72.3440063626003,18.5542133366308,230,lars
-72.3442745835018,18.5549927017729,230,lars
-72.3442960411739,18.5549761736747,230,lars
-72.3443402976227,18.5549736308902,230,lars
-72.3442812890244,18.5549291321556,230,lars
-72.3442853123379,18.5548948045525,230,lars
-72.344304087801,18.554856662763,230,lars
-72.3443188399506,18.554782921946,230,lars
-72.3432843356514,18.5549571027902,230,lars
-72.3431153564835,18.5549494744358,230,lars
-72.343032208004,18.5549240465853,230,lars
-72.3429772227192,18.5549405746885,230,lars
-72.3428511588955,18.5549265893705,230,lars
-72.3427519171619,18.5549049756949,230,lars
-72.3427022962952,18.5549049756949,230,lars
-72.3426338999653,18.5548859048024,230,lars
-72.342585620203,18.5548681053008,230,lars
-72.3425373404407,18.5548744622659,230,lars
-72.3424662619018,18.5548617483355,230,lars
-72.3423884778404,18.5548096212111,230,lars
-72.3425145416641,18.5546354402164,230,lars
-72.3425507514858,18.5547485943135,230,lars
-72.342408594408,18.5546354402164,230,lars
-72.3424407809162,18.5545566137225,230,lars
-72.3424273698711,18.5544383739133,230,lars
-72.3425520925903,18.5544256599504,230,lars
-72.3425936668301,18.5545032151091,230,lars
-72.3425091772461,18.5545464425593,230,lars
-72.3426848619366,18.5544561734597,230,lars
-72.3427505760574,18.5544841441717,230,lars
-72.3428766398811,18.5545438997684,230,lars
-72.3429678349876,18.5545438997684,230,lars
-72.3430255024815,18.5545261002312,230,lars
-72.3430751233482,18.5545083006921,230,lars
-72.343127426424,18.5545655134898,230,lars
-72.3432320325756,18.554650696953,230,lars
-72.3431743650818,18.5545833130229,230,lars
-72.3430898754978,18.5548058070306,230,lars
-72.3431716828728,18.5548503057974,230,lars
-72.3431837528133,18.5547727507964,230,lars
-72.3430925577068,18.5542781779122,230,lars
-72.3429933159733,18.5542756351173,230,lars
-72.3429490595245,18.5542603783472,230,lars
-72.3429021208668,18.5542781779122,230,lars
-72.3428162901783,18.5542476643711,230,lars
-72.342855182209,18.5542591069496,230,lars
-72.3427720337295,18.5542476643711,230,lars
-72.3427009551907,18.5542235078139,230,lars
-72.3426660864735,18.5542260506095,230,lars
-72.3426030545616,18.5542069796412,230,lars
-72.3425212471867,18.5541840944763,230,lars
-72.3424769907379,18.5541866372726,230,lars
-72.3424166410351,18.5541866372726,230,lars
-72.3424300520801,18.554116710362,230,lars
-72.3423697023773,18.5541624807067,230,lars
-72.342395183363,18.5540925537863,230,lars
-72.343119379797,18.5540823825955,230,lars
-72.3430711000347,18.5541306957464,230,lars
-72.3431126742744,18.5541866372726,230,lars
-72.3430255024815,18.5541612093084,230,lars
-72.3429128497028,18.5540950965839,230,lars
-72.3428525,18.5541306957464,230,lars
-72.3428015380287,18.5541116247674,230,lars
-72.3430992632294,18.5539927773052,230,lars
-72.3428645699406,18.5539419213154,230,lars
-72.3426245122337,18.553858008899,230,lars
-72.3426298766518,18.5539228503153,230,lars
-72.3425373404407,18.5540054913003,230,lars
-72.3423898189449,18.5538300380844,230,lars
-72.3423817723179,18.5537613824291,230,lars
-72.3423777490044,18.5536393278626,230,lars
-72.3423898189449,18.5535935573776,230,lars
-72.3424944250965,18.5535566867002,230,lars
-72.3424890606785,18.5534346319874,230,lars
-72.3425051539326,18.553306220164,230,lars
-72.3426955907726,18.553292234712,230,lars
-72.3429329662704,18.5534079325073,230,lars
-72.3431046276474,18.5533825044271,230,lars
-72.3431783883953,18.5534092039112,230,lars
-72.3431381552601,18.5531701798101,230,lars
-72.3433326154137,18.5531828938664,230,lars
-72.3433165221596,18.5532032363546,230,lars
-72.3432843356514,18.5532172218139,230,lars
-72.3432856767559,18.5531739940271,230,lars
-72.3432910411739,18.5531536515354,230,lars
-72.3426915674591,18.5536380564604,230,lars
-72.3427961736107,18.5537410400074,230,lars
-72.3429128497028,18.5537550254226,230,lars
-72.3428229957008,18.5536596702964,230,lars
-72.3429544239426,18.5536558560902,230,lars
-72.3428337245369,18.5535783005466,230,lars
