lon,lat,status,iteration,instance,assignID,parentID
-72.3440117270184,18.5548617483355,4,1,120,243,
-72.3439755171967,18.5547752935838,4,1,120,243,
-72.343939307375,18.5549227751926,4,1,120,243,
-72.3435731858444,18.5548998901237,4,1,120,243,
-72.3438051969242,18.5548414060449,4,1,120,243,
-72.3439124852848,18.5547562226768,4,1,120,243,
-72.3436026901436,18.5547638510399,4,1,120,243,
-72.3435973257256,18.5546684964772,4,1,120,243,
-72.3433747023773,18.5546316260321,4,1,120,243,
-72.3433787256909,18.5547282520094,4,1,120,243,
-72.343577209158,18.5548375918652,4,1,120,243,
-72.3435812324715,18.55480199285,4,1,120,243,
-72.3440278202725,18.5545146576705,4,1,120,243,
-72.3439781994057,18.5545044865049,4,1,120,243,
-72.3441042632294,18.554542628373,4,1,120,243,
-72.3440841466618,18.5544650732322,4,1,120,243,
-72.3440908521843,18.5544040462114,4,1,120,243,
-72.3440197736454,18.5543887894528,4,1,120,243,
-72.3438977331352,18.5544510878752,4,1,120,243,
-72.3437180251312,18.5544231171578,4,1,120,243,
-72.3437663048935,18.5544294741394,4,1,120,243,
-72.3438279957008,18.5544409167057,4,1,120,243,
-72.343846771164,18.5543684471059,4,1,120,243,
-72.3436496288014,18.554173923291,4,1,120,243,
-72.344121697588,18.5542209650182,4,1,120,243,
-72.3440921932888,18.5543137770365,4,1,120,243,
-72.3438400656414,18.5541548523168,4,1,120,243,
-72.3441230386925,18.5541141675647,4,1,120,243,
-72.3433465391827,18.5547689366151,4,1,120,243,
-72.3433438569737,18.5548223351453,4,1,120,243,
-72.343323740406,18.5548642911216,4,1,120,243,
-72.3433089882565,18.5549037043021,4,1,120,243,
-72.3432754606438,18.5549304035483,4,1,120,243,
-72.3431225747299,18.5549482030433,4,1,120,243,
-72.3430313796234,18.5549291321557,4,1,120,243,
-72.3431842655373,18.5548579341562,4,1,120,243,
-72.3431842655373,18.5547727507964,4,1,120,243,
-72.3430823415947,18.5548032642436,4,1,120,243,
-72.3429750532341,18.5549558313978,4,1,120,243,
-72.3429106802178,18.5549354891185,4,1,120,243,
-72.3428087562752,18.5549227751926,4,1,120,243,
-72.3427484065724,18.5549126040513,4,1,120,243,
-72.3426934212875,18.5548859048024,4,1,120,243,
-72.3426330715847,18.5548808192307,4,1,120,243,
-72.3426075905991,18.5547943644887,4,1,120,243,
-72.3427443832588,18.5547206236448,4,1,120,243,
-72.3425472408962,18.5547485943135,4,1,120,243,
-72.3425311476421,18.5548655625147,4,1,120,243,
-72.3424600691033,18.5548401346517,4,1,120,243,
-72.3423916727734,18.5548223351453,4,1,120,243,
-72.3424493402672,18.5545731418613,4,1,120,243,
-72.342512372179,18.5546354402164,4,1,120,243,
-72.3423796028328,18.5544065890044,4,1,120,243,
-72.342594179554,18.5544663446283,4,1,120,243,
-72.3425472408962,18.5544243885541,4,1,120,243,
-72.3426826924515,18.5544625304401,4,1,120,243,
-72.3427577943039,18.5544282027431,4,1,120,243,
-72.3427497476769,18.554491772547,4,1,120,243,
-72.342869105978,18.5544892297552,4,1,120,243,
-72.3429294556809,18.5545222860444,4,1,120,243,
-72.3429670066071,18.5545794988374,4,1,120,243,
-72.343043449564,18.5546367116112,4,1,120,243,
-72.3431265980435,18.5545553423271,4,1,120,243,
-72.3431735367012,18.5545845844181,4,1,120,243,
-72.343231204195,18.554646882769,4,1,120,243,
