"","iteration","instance","precision","recall","fmeasure","num_annotations"
"1",1,3,0.936046511627907,0.879781420765027,0.907042253521127,172
"2",2,3,0.921875,0.644808743169399,0.758842443729904,128
"3",3,3,0.9,0.098360655737705,0.177339901477832,20
"4",4,3,0.00949367088607595,0.0163934426229508,0.0120240480961924,316
"5",5,3,0.718181818181818,0.863387978142076,0.784119106699752,220
"6",6,3,0.938356164383562,0.748633879781421,0.832826747720365,146
"7",7,3,0.723981900452489,0.87431693989071,0.792079207920792,221
"8",1,2,0.950704225352113,0.737704918032787,0.83076923076923,142
"9",2,2,0.923076923076923,0.78688524590164,0.849557522123894,156
"10",3,2,0.935897435897436,0.797814207650273,0.861356932153392,156
"11",4,2,0.9171974522293,0.78688524590164,0.847058823529412,157
"12",5,2,0.923076923076923,0.78688524590164,0.849557522123894,156
"13",6,2,0.946666666666667,0.775956284153005,0.852852852852853,150
"14",7,2,0.894117647058824,0.830601092896175,0.861189801699717,170
"15",8,2,0.92517006802721,0.743169398907104,0.824242424242424,147
"16",1,4,0.966101694915254,0.622950819672131,0.757475083056478,118
"17",2,4,0.96875,0.6775956284153,0.797427652733119,128
"18",1,101,0.527156549520767,0.901639344262295,0.665322580645161,313
"19",2,101,0.581227436823105,0.879781420765027,0.7,277
"20",1,105,1,0.530054644808743,0.692857142857143,97
"21",2,105,1,0.530054644808743,0.692857142857143,97
"22",3,105,0.9921875,0.693989071038251,0.816720257234727,128
"23",4,105,0.951456310679612,0.53551912568306,0.685314685314685,103
"24",1,103,0.95890410958904,0.765027322404372,0.851063829787234,146
"25",2,103,0.932515337423313,0.830601092896175,0.878612716763006,163
"26",3,103,0.95890410958904,0.765027322404372,0.851063829787234,146
"27",4,103,0.95890410958904,0.765027322404372,0.851063829787234,146
"28",5,103,0.952054794520548,0.759562841530055,0.844984802431611,146
"29",1,100,0.984962406015038,0.715846994535519,0.829113924050633,133
"30",2,100,0.986666666666667,0.808743169398907,0.888888888888889,150
"31",3,100,0.992,0.6775956284153,0.805194805194805,125
"32",4,100,0.977099236641221,0.699453551912568,0.815286624203822,131
"33",5,100,0.98473282442748,0.704918032786885,0.821656050955414,131
"34",6,100,0.971014492753623,0.73224043715847,0.834890965732087,138
"35",7,100,0.533333333333333,0.961748633879781,0.686159844054581,330
"36",1,6,0.957142857142857,0.73224043715847,0.829721362229102,140
"37",2,6,0.973333333333333,0.398907103825137,0.565891472868217,75
"38",3,6,0.934782608695652,0.704918032786885,0.80373831775701,138
"39",4,6,0.957142857142857,0.73224043715847,0.829721362229102,140
"40",5,6,0.935483870967742,0.792349726775956,0.857988165680473,155
"41",6,6,0.917721518987342,0.792349726775956,0.850439882697947,158
"42",7,6,0.933774834437086,0.770491803278688,0.84431137724551,151
"43",8,6,0.810055865921788,0.792349726775956,0.80110497237569,179
