"","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"1",0.95774647887324,0.743169398907104,0.836923076923077,142,1,1,0.01,0.01
"2",0.961290322580645,0.814207650273224,0.881656804733728,155,1,1,0.01,0.01
"3",0.974789915966387,0.633879781420765,0.768211920529801,119,1,1,0.01,0.01
"4",0.991228070175439,0.617486338797814,0.760942760942761,114,1,1,0.01,0.01
"5",0.958041958041958,0.748633879781421,0.840490797546012,143,1,1,0.01,0.01
"6",1,0.202185792349727,0.336363636363636,37,1,1,0.01,0.01
"7",1,0.087431693989071,0.160804020100502,16,1,1,0.01,0.01
"8",0.970588235294118,0.901639344262295,0.93484419263456,170,1,1,0.01,0.01
"9",1,0.0218579234972678,0.0427807486631016,4,1,1,0.01,0.01
"10",0.977941176470588,0.726775956284153,0.83385579937304,136,1,1,0.01,0.01
"11",0.968992248062015,0.683060109289617,0.801282051282051,129,1,1,0.01,0.01
"12",1,0.087431693989071,0.160804020100502,16,1,1,0.01,0.01
"13",0.916666666666667,0.781420765027322,0.843657817109145,156,1,1,0.01,0.01
"14",0.974193548387097,0.825136612021858,0.893491124260355,155,1,1,0.01,0.01
"15",1,0.087431693989071,0.160804020100502,16,1,1,0.01,0.01
"16",0.954545454545455,0.688524590163934,0.8,132,1,1,0.01,0.01
"17",0.98170731707317,0.879781420765027,0.927953890489913,164,1,1,0.01,0.01
"18",0.992857142857143,0.759562841530055,0.860681114551084,140,1,1,0.01,0.01
"19",1,0.087431693989071,0.160804020100502,16,1,1,0.01,0.01
"20",0.98076923076923,0.836065573770492,0.902654867256637,156,1,1,0.01,0.01
"21",0.926174496644295,0.754098360655738,0.831325301204819,149,1,1,0.01,0.01
"22",1,0.087431693989071,0.160804020100502,16,1,1,0.01,0.01
"23",0.928057553956835,0.704918032786885,0.801242236024845,139,1,1,0.01,0.01
"24",0.949367088607595,0.819672131147541,0.879765395894428,158,1,1,0.01,0.01
"25",0.960526315789474,0.797814207650273,0.871641791044776,152,1,1,0.01,0.01
"26",0.956140350877193,0.595628415300546,0.734006734006734,114,1,1,0.01,0.01
"27",0.93491124260355,0.863387978142076,0.897727272727273,169,1,1,0.01,0.01
"28",0.8,0.0218579234972678,0.0425531914893617,5,1,1,0.01,0.01
"29",0.964539007092199,0.743169398907104,0.839506172839506,141,1,1,0.01,0.01
"30",0.944827586206897,0.748633879781421,0.835365853658537,145,1,1,0.01,0.01
"31",0.959677419354839,0.650273224043716,0.775244299674267,124,1,1,0.01,0.01
