"","X","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"13630",13630,0.97857142857143,0.748633879781421,0.848297213622291,140,1,1,0.01,0.01
"13631",13631,0.962732919254658,0.846994535519126,0.901162790697674,161,1,1,0.01,0.01
"13632",13632,1,0.131147540983607,0.231884057971015,24,1,1,0.01,0.01
"13633",13633,0.977443609022556,0.710382513661202,0.822784810126582,133,1,1,0.01,0.01
"13634",13634,0.8,0.0218579234972678,0.0425531914893617,5,1,1,0.01,0.01
"13635",13635,0.932432432432432,0.754098360655738,0.833836858006042,148,1,1,0.01,0.01
"13636",13636,0.9625,0.841530054644809,0.89795918367347,160,1,1,0.01,0.01
"13637",13637,0.98581560283688,0.759562841530055,0.858024691358025,141,1,1,0.01,0.01
"13638",13638,0.974358974358974,0.207650273224044,0.342342342342342,39,1,1,0.01,0.01
"13639",13639,0.96951219512195,0.868852459016393,0.9164265129683,164,1,1,0.01,0.01
"13640",13640,0.931818181818182,0.896174863387978,0.913649025069638,176,1,1,0.01,0.01
"13641",13641,0.93918918918919,0.759562841530055,0.83987915407855,148,1,1,0.01,0.01
"9112",9112,0.96969696969697,0.87431693989071,0.919540229885057,165,1,2,0.01,0.007
"9113",9113,0.944055944055944,0.737704918032787,0.828220858895706,143,1,2,0.01,0.007
"9114",9114,0.957446808510638,0.737704918032787,0.833333333333333,141,1,2,0.01,0.007
"9115",9115,0.496815286624204,0.852459016393443,0.627766599597586,314,1,2,0.01,0.007
"9116",9116,0.96875,0.846994535519126,0.903790087463557,160,1,2,0.01,0.007
"9117",9117,0.487261146496815,0.836065573770492,0.61569416498994,314,1,2,0.01,0.007
"9118",9118,0.97080291970803,0.726775956284153,0.83125,137,1,2,0.01,0.007
"9119",9119,0.51063829787234,0.78688524590164,0.619354838709677,282,1,2,0.01,0.007
"9120",9120,0.971830985915493,0.754098360655738,0.849230769230769,142,1,2,0.01,0.007
"9121",9121,0.905555555555556,0.890710382513661,0.898071625344353,180,1,2,0.01,0.007
"9122",9122,0.930379746835443,0.80327868852459,0.86217008797654,158,1,2,0.01,0.007
"9123",9123,0.976470588235294,0.907103825136612,0.940509915014164,170,1,2,0.01,0.007
"9124",9124,0.96,0.78688524590164,0.864864864864865,150,1,2,0.01,0.007
"9125",9125,0.96551724137931,0.918032786885246,0.941176470588235,174,1,2,0.01,0.007
"9126",9126,0.968553459119497,0.841530054644809,0.900584795321637,159,1,2,0.01,0.007
"9127",9127,0.950920245398773,0.846994535519126,0.895953757225433,163,1,2,0.01,0.007
"9128",9128,0.967948717948718,0.825136612021858,0.890855457227139,156,1,2,0.01,0.007
"9129",9129,0.944827586206897,0.748633879781421,0.835365853658537,145,1,2,0.01,0.007
"9130",9130,0.503086419753086,0.890710382513661,0.642998027613412,324,1,2,0.01,0.007
"9131",9131,0.932432432432432,0.754098360655738,0.833836858006042,148,1,2,0.01,0.007
"9132",9132,0.931972789115646,0.748633879781421,0.83030303030303,147,1,2,0.01,0.007
"9133",9133,0.967741935483871,0.819672131147541,0.887573964497042,155,1,2,0.01,0.007
"9134",9134,0.88961038961039,0.748633879781421,0.813056379821959,154,1,2,0.01,0.007
"9135",9135,0.92857142857143,0.852459016393443,0.888888888888889,168,1,2,0.01,0.007
"9136",9136,0.96923076923077,0.688524590163934,0.805111821086262,130,1,2,0.01,0.007
"9137",9137,0.947368421052632,0.59016393442623,0.727272727272727,114,1,2,0.01,0.007
"9138",9138,0.974683544303797,0.841530054644809,0.903225806451613,158,1,2,0.01,0.007
"9139",9139,0.992857142857143,0.759562841530055,0.860681114551084,140,1,2,0.01,0.007
"9140",9140,0.987096774193548,0.836065573770492,0.905325443786982,155,1,2,0.01,0.007
"9141",9141,0.952941176470588,0.885245901639344,0.91784702549575,170,1,2,0.01,0.007
"9142",9142,0.964285714285714,0.737704918032787,0.835913312693499,140,1,2,0.01,0.007
"9143",9143,0.924657534246575,0.737704918032787,0.820668693009119,146,1,2,0.01,0.007
"9144",9144,0.975460122699387,0.868852459016393,0.91907514450867,163,1,2,0.01,0.007
"9145",9145,0.973856209150327,0.814207650273224,0.886904761904762,153,1,2,0.01,0.007
"9146",9146,0.96341463414634,0.863387978142076,0.910662824207493,164,1,2,0.01,0.007
"9147",9147,0.967741935483871,0.819672131147541,0.887573964497042,155,1,2,0.01,0.007
"9148",9148,0.985714285714286,0.754098360655738,0.854489164086687,140,1,2,0.01,0.007
"9149",9149,0.977777777777778,0.721311475409836,0.830188679245283,135,1,2,0.01,0.007
"9150",9150,1,0.229508196721311,0.373333333333333,42,1,2,0.01,0.007
"9151",9151,0.96470588235294,0.896174863387978,0.929178470254958,170,1,2,0.01,0.007
"9152",9152,0.514705882352941,0.765027322404372,0.615384615384615,272,1,2,0.01,0.007
"9153",9153,0.9625,0.841530054644809,0.89795918367347,160,1,2,0.01,0.007
"9154",9154,0.944444444444444,0.836065573770492,0.88695652173913,162,1,2,0.01,0.007
"9155",9155,0.958677685950413,0.633879781420765,0.763157894736842,121,1,2,0.01,0.007
"9156",9156,0.966666666666667,0.633879781420765,0.765676567656766,120,1,2,0.01,0.007
"9157",9157,0.964028776978417,0.73224043715847,0.832298136645963,139,1,2,0.01,0.007
"9158",9158,0.955414012738854,0.819672131147541,0.88235294117647,157,1,2,0.01,0.007
"9159",9159,0.938356164383562,0.748633879781421,0.832826747720365,146,1,2,0.01,0.007
"9160",9160,0.976047904191617,0.890710382513661,0.93142857142857,167,1,2,0.01,0.007
"9161",9161,0.903954802259887,0.87431693989071,0.888888888888889,177,1,2,0.01,0.007
"9162",9162,0.926553672316384,0.896174863387978,0.911111111111111,177,1,2,0.01,0.007
"9163",9163,0.977941176470588,0.726775956284153,0.83385579937304,136,1,2,0.01,0.007
"9164",9164,0.494152046783626,0.923497267759563,0.643809523809524,342,1,2,0.01,0.007
