photo_id,hue_mean,hue_std,sat_mean,sat_std,lum_mean,lum_std
photo_1,0.2965041698497581,0.2778176199024508,0.21958516361089891,0.14134076105482785,0.3093236726508785,0.2193512312041998
photo_2,0.23889093362777575,0.1634584931374903,0.28550347485332,0.1592818788407667,0.33015277807847465,0.2469302933061933
photo_3,0.31163292125078296,0.19093186612353166,0.29233883334355637,0.1025986710000567,0.4274758875016496,0.15235699600683622
photo_4,0.21902116050039924,0.1199174984915286,0.24415701801082423,0.12443691586835168,0.268629669062195,0.19874048010894324
photo_5,0.1760493978613343,0.12961010791604394,0.1890934026614576,0.12709652166441818,0.1955037377106935,0.17382629787909112
photo_6,0.27031356032616305,0.2584243455933988,0.21123223140199132,0.1369716438670622,0.2940041865491848,0.232420861002475
photo_8,0.19169784962330988,0.05433652432989001,0.2674278871854085,0.1151572674258036,0.21561464280368636,0.11109220893269608
photo_9,0.27205320630926166,0.22951454354434653,0.22402297817522732,0.12936377747053002,0.34672890546592966,0.25657580038489164
photo_10,0.21643829296424452,0.16016094592133526,0.27629740040812706,0.18941652759232025,0.3991858752550794,0.29624949979277587
photo_11,0.24049931412894376,0.1757695579451168,0.2332962156055838,0.11830385752469923,0.3413840071007827,0.2154563770300901
photo_13,0.22432110075884598,0.1104080095322216,0.2644210510141955,0.11178961177907934,0.369161773828936,0.19374190529366989
photo_14,0.38272151254467895,0.26830290410591456,0.2665579582797954,0.14686736653088492,0.5572752991881442,0.23841487989146581
photo_15,0.17205942761975396,0.13640290702008734,0.17789289571170205,0.12286350465779829,0.19518512116193523,0.18172939465576535
photo_16,0.3792279283387355,0.24884849186125935,0.22018954659173537,0.1323537891627472,0.5420650472634057,0.3013157274246572
photo_17,0.3034800344709409,0.2203082039832919,0.21717258428910338,0.10742773896067792,0.3706830636547848,0.22415977105775667
photo_18,0.3649623687858982,0.19714629063396505,0.36779527299135145,0.23798387244911443,0.5698923879316037,0.20454625598426288
photo_19,0.2914744366460148,0.19883352559122036,0.29830403206754913,0.13176562300613134,0.31217088467722887,0.16801582676556578
photo_20,0.3845280918531241,0.2735252452237141,0.16285705198543327,0.09903473977953897,0.4726021341220998,0.30115429117806186
photo_21,0.2692543916963802,0.18856248406719434,0.31422984300035467,0.1734610282508498,0.3461095450557246,0.2063870663134994
photo_22,0.4512042879435511,0.2862733882742218,0.24528716330822986,0.14388579633369078,0.5624408457154488,0.22129357922278758
