"","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"1",0.657894736842105,0.466417910447761,0.545851528384280,190,1,1,0.01,0.01
"2",1,0.0597014925373134,0.112676056338028,16,1,1,0.01,0.01
"3",0.784810126582278,0.462686567164179,0.582159624413146,158,1,1,0.01,0.01
"4",0.560283687943262,0.58955223880597,0.574545454545455,282,1,1,0.01,0.01
"5",0.76271186440678,0.335820895522388,0.466321243523316,118,1,1,0.01,0.01
"6",0.911764705882353,0.115671641791045,0.205298013245033,34,1,1,0.01,0.01
"7",1,0.0373134328358209,0.0719424460431655,10,1,1,0.01,0.01
"8",0.686567164179104,0.514925373134328,0.588486140724947,201,1,1,0.01,0.01
"9",0.25,0.00373134328358209,0.00735294117647059,4,1,1,0.01,0.01
"10",0.800847457627119,0.705223880597015,0.75,236,1,1,0.01,0.01
"11",0.796791443850267,0.555970149253731,0.654945054945055,187,1,1,0.01,0.01
"12",0.651821862348178,0.600746268656716,0.625242718446602,247,1,1,0.01,0.01
"13",0.788135593220339,0.347014925373134,0.481865284974093,118,1,1,0.01,0.01
"14",1,0.0597014925373134,0.112676056338028,16,1,1,0.01,0.01
"15",0.84431137724551,0.526119402985075,0.648275862068966,167,1,1,0.01,0.01
"16",0.762820512820513,0.444029850746269,0.561320754716981,156,1,1,0.01,0.01
"17",0.606694560669456,0.541044776119403,0.571992110453649,239,1,1,0.01,0.01
"18",0.839080459770115,0.272388059701493,0.411267605633803,87,1,1,0.01,0.01
"19",0,0,0,4,1,1,0.01,0.01
"20",0.6875,0.041044776119403,0.0774647887323944,16,1,1,0.01,0.01
"21",1,0.0597014925373134,0.112676056338028,16,1,1,0.01,0.01
"22",0.0526315789473684,0.00373134328358209,0.00696864111498258,19,1,1,0.01,0.01
"23",0.25,0.00373134328358209,0.00735294117647059,4,1,1,0.01,0.01
"24",0.894736842105263,0.0634328358208955,0.118466898954704,19,1,1,0.01,0.01
"25",0.767676767676768,0.567164179104478,0.652360515021459,198,1,1,0.01,0.01
"26",0.9375,0.0559701492537313,0.105633802816901,16,1,1,0.01,0.01
"27",0.9375,0.0559701492537313,0.105633802816901,16,1,1,0.01,0.01
"28",0.764705882352941,0.0970149253731343,0.172185430463576,34,1,1,0.01,0.01
"29",0.840909090909091,0.552238805970149,0.666666666666667,176,1,1,0.01,0.01
"30",0.861111111111111,0.115671641791045,0.203947368421053,36,1,1,0.01,0.01
"31",0.833333333333333,0.242537313432836,0.375722543352601,78,1,1,0.01,0.01
"32",0.674496644295302,0.75,0.710247349823321,298,1,1,0.01,0.01
"33",0.941176470588235,0.0597014925373134,0.112280701754386,17,1,1,0.01,0.01
"34",1,0.0597014925373134,0.112676056338028,16,1,1,0.01,0.01
"35",0.0384615384615385,0.00373134328358209,0.00680272108843537,26,1,1,0.01,0.01
"36",0,0,0,4,1,1,0.01,0.01
"37",0.91304347826087,0.0783582089552239,0.144329896907217,23,1,1,0.01,0.01
"38",0.602373887240356,0.757462686567164,0.67107438016529,337,1,1,0.01,0.01
"39",0.808080808080808,0.597014925373134,0.686695278969957,198,1,1,0.01,0.01
"40",0.25,0.00373134328358209,0.00735294117647059,4,1,1,0.01,0.01
"41",0.682389937106918,0.809701492537313,0.74061433447099,318,1,1,0.01,0.01
"42",0.320388349514563,0.123134328358209,0.177897574123989,103,1,1,0.01,0.01
"43",0.747169811320755,0.738805970149254,0.74296435272045,265,1,1,0.01,0.01
"44",0.495614035087719,0.421641791044776,0.455645161290323,228,1,1,0.01,0.01
"45",0.739837398373984,0.67910447761194,0.708171206225681,246,1,1,0.01,0.01
"46",0.530337078651685,0.880597014925373,0.661991584852735,445,1,1,0.01,0.01
"47",0.840425531914894,0.294776119402985,0.43646408839779,94,1,1,0.01,0.01
"48",0.0675675675675676,0.0186567164179104,0.0292397660818713,74,1,1,0.01,0.01
"49",0.807228915662651,0.25,0.381766381766382,83,1,1,0.01,0.01
"50",0.645756457564576,0.652985074626866,0.64935064935065,271,1,1,0.01,0.01
"51",0.0416666666666667,0.0111940298507463,0.0176470588235294,72,1,1,0.01,0.01
"52",0.774193548387097,0.179104477611940,0.290909090909091,62,1,1,0.01,0.01
"53",0.579124579124579,0.641791044776119,0.608849557522124,297,1,1,0.01,0.01
"54",0.485655737704918,0.884328358208955,0.626984126984127,488,1,1,0.01,0.01
"55",0.855491329479769,0.552238805970149,0.671201814058957,173,1,1,0.01,0.01
"56",0.638513513513513,0.705223880597015,0.670212765957447,296,1,1,0.01,0.01
"57",0.691131498470948,0.843283582089552,0.759663865546219,327,1,1,0.01,0.01
"58",0.0208333333333333,0.00373134328358209,0.00632911392405063,48,1,1,0.01,0.01
