"","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"1",0.794736842105263,0.361244019138756,0.496710526315789,190,1,1,0.01,0.003
"2",1,0.0382775119617225,0.0737327188940092,16,1,1,0.01,0.003
"3",0.91139240506329,0.344497607655502,0.5,158,1,1,0.01,0.003
"4",0.75,0.516746411483254,0.611898016997167,288,1,1,0.01,0.003
"5",0.923728813559322,0.260765550239234,0.406716417910448,118,1,1,0.01,0.003
"6",0.970588235294118,0.0789473684210526,0.146017699115044,34,1,1,0.01,0.003
"7",1,0.0239234449760766,0.0467289719626168,10,1,1,0.01,0.003
"8",0.853658536585366,0.41866028708134,0.561797752808989,205,1,1,0.01,0.003
"9",0.5,0.00478468899521531,0.0094786729857820,4,1,1,0.01,0.003
"10",0.915611814345992,0.519138755980861,0.662595419847328,237,1,1,0.01,0.003
"11",0.930851063829787,0.41866028708134,0.577557755775578,188,1,1,0.01,0.003
"12",0.794466403162055,0.480861244019139,0.599105812220566,253,1,1,0.01,0.003
"13",0.915254237288136,0.258373205741627,0.402985074626866,118,1,1,0.01,0.003
"14",1,0.0382775119617225,0.0737327188940092,16,1,1,0.01,0.003
"15",0.964071856287425,0.385167464114833,0.550427350427350,167,1,1,0.01,0.003
"16",0.91025641025641,0.339712918660287,0.494773519163763,156,1,1,0.01,0.003
"17",0.761316872427984,0.442583732057416,0.559757942511346,243,1,1,0.01,0.003
"18",0.943181818181818,0.198564593301435,0.328063241106719,88,1,1,0.01,0.003
"19",0.25,0.00239234449760766,0.0047393364928910,4,1,1,0.01,0.003
"20",0.8125,0.0311004784688995,0.0599078341013825,16,1,1,0.01,0.003
"21",1,0.0382775119617225,0.0737327188940092,16,1,1,0.01,0.003
"22",0.526315789473684,0.0239234449760766,0.045766590389016,19,1,1,0.01,0.003
"23",0.75,0.00717703349282297,0.0142180094786730,4,1,1,0.01,0.003
"24",1,0.0454545454545455,0.0869565217391304,19,1,1,0.01,0.003
"25",0.934343434343434,0.442583732057416,0.600649350649351,198,1,1,0.01,0.003
"26",0.9375,0.0358851674641148,0.0691244239631336,16,1,1,0.01,0.003
"27",1,0.0382775119617225,0.0737327188940092,16,1,1,0.01,0.003
"28",0.794117647058823,0.0645933014354067,0.119469026548673,34,1,1,0.01,0.003
"29",0.971751412429379,0.411483253588517,0.578151260504202,177,1,1,0.01,0.003
"30",1,0.0861244019138756,0.158590308370044,36,1,1,0.01,0.003
"31",0.948717948717949,0.177033492822967,0.298387096774194,78,1,1,0.01,0.003
"32",0.835526315789474,0.607655502392344,0.703601108033241,304,1,1,0.01,0.003
"33",0.88235294117647,0.0358851674641148,0.0689655172413793,17,1,1,0.01,0.003
"34",1,0.0382775119617225,0.0737327188940092,16,1,1,0.01,0.003
"35",0.5,0.0311004784688995,0.0585585585585586,26,1,1,0.01,0.003
"36",0.5,0.00478468899521531,0.0094786729857820,4,1,1,0.01,0.003
"37",1,0.0550239234449761,0.104308390022676,23,1,1,0.01,0.003
"38",0.808823529411765,0.657894736842105,0.725593667546174,340,1,1,0.01,0.003
"39",0.944723618090452,0.449760765550239,0.609400324149109,199,1,1,0.01,0.003
"40",0.25,0.00239234449760766,0.0047393364928910,4,1,1,0.01,0.003
"41",0.865203761755486,0.660287081339713,0.74898236092266,319,1,1,0.01,0.003
"42",0.533980582524272,0.131578947368421,0.211132437619962,103,1,1,0.01,0.003
"43",0.89179104477612,0.57177033492823,0.696793002915452,268,1,1,0.01,0.003
"44",0.634538152610442,0.377990430622010,0.47376311844078,249,1,1,0.01,0.003
"45",0.894736842105263,0.528708133971292,0.664661654135338,247,1,1,0.01,0.003
"46",0.70752688172043,0.787081339712919,0.745186862967157,465,1,1,0.01,0.003
"47",0.957446808510638,0.215311004784689,0.3515625,94,1,1,0.01,0.003
"48",0.108108108108108,0.0191387559808612,0.032520325203252,74,1,1,0.01,0.003
"49",0.951807228915663,0.188995215311005,0.315369261477046,83,1,1,0.01,0.003
"50",0.830882352941177,0.54066985645933,0.655072463768116,272,1,1,0.01,0.003
"51",0.0694444444444444,0.0119617224880383,0.0204081632653061,72,1,1,0.01,0.003
"52",0.935483870967742,0.138755980861244,0.241666666666667,62,1,1,0.01,0.003
"53",0.760655737704918,0.555023923444976,0.6417704011065,305,1,1,0.01,0.003
"54",0.673346693386774,0.803827751196172,0.732824427480916,499,1,1,0.01,0.003
"55",0.942196531791908,0.389952153110048,0.55160744500846,173,1,1,0.01,0.003
"56",0.814814814814815,0.578947368421053,0.676923076923077,297,1,1,0.01,0.003
"57",0.854984894259819,0.677033492822967,0.755674232309746,331,1,1,0.01,0.003
"58",0.0416666666666667,0.00478468899521531,0.00858369098712446,48,1,1,0.01,0.003
"59",0.7417943107221,0.811004784688995,0.774857142857143,457,1,1,0.01,0.003
"60",0.677852348993289,0.72488038277512,0.700578034682081,447,1,1,0.01,0.003
"61",0.673387096774194,0.399521531100478,0.501501501501501,248,1,1,0.01,0.003
"62",0.5,0.00239234449760766,0.00476190476190476,2,1,1,0.01,0.003
"63",0.817241379310345,0.566985645933014,0.669491525423729,290,1,1,0.01,0.003
"64",0.730769230769231,0.818181818181818,0.772009029345373,468,1,1,0.01,0.003
"65",0.025,0.00239234449760766,0.00436681222707424,40,1,1,0.01,0.003
"66",0.79375,0.303827751196172,0.439446366782007,160,1,1,0.01,0.003
"67",0.723776223776224,0.495215311004785,0.588068181818182,286,1,2,0.01,0.003
"68",0.90983606557377,0.26555023923445,0.411111111111111,122,1,2,0.01,0.003
"69",0.648745519713262,0.433014354066986,0.519368723098996,279,1,2,0.01,0.003
"70",0.735408560311284,0.452153110047847,0.56,257,1,2,0.01,0.003
"71",0.532710280373832,0.136363636363636,0.217142857142857,107,1,2,0.01,0.003
"72",0.571428571428571,0.76555023923445,0.65439672801636,560,1,2,0.01,0.003
"73",0.646934460887949,0.732057416267943,0.686868686868687,473,1,2,0.01,0.003
"74",0.795918367346939,0.559808612440191,0.657303370786517,294,1,2,0.01,0.003
"75",0.667992047713718,0.803827751196172,0.729641693811075,503,1,2,0.01,0.003
"76",0.678899082568807,0.5311004784689,0.595973154362416,327,1,2,0.01,0.003
"77",0.911458333333333,0.41866028708134,0.573770491803279,192,1,2,0.01,0.003
"78",0.757085020242915,0.447368421052632,0.562406015037594,247,1,2,0.01,0.003
"79",0.594736842105263,0.270334928229665,0.371710526315789,190,1,2,0.01,0.003
"80",0.9,0.0430622009569378,0.0821917808219178,20,1,2,0.01,0.003
