lon,lat,status,iteration,instance,assignID,parentID
-72.2540625879051,18.5598472942079,4,1,109,283,
-72.2537943670037,18.5600252839475,4,1,109,283,
-72.2539552995445,18.5600456256202,4,1,109,283,
-72.2531130859139,18.560050711038,4,1,109,283,
-72.2530648061516,18.5599490026532,4,1,109,283,
-72.2528663226845,18.5600252839475,4,1,109,283,
-72.2538158246758,18.559470972433,4,1,109,283,
-72.253676349807,18.5593387510718,4,1,109,283,
-72.2535422393563,18.5592472131464,4,1,109,283,
-72.253311569381,18.5593438365107,4,1,109,283,
-72.2533920356514,18.5594353743843,4,1,109,283,
-72.2531560012581,18.5594048617652,4,1,109,283,
-72.2530701705696,18.5592573840294,4,1,109,283,
-72.2538050958397,18.5585988181022,4,1,109,283,
-72.2541993805649,18.5584081132085,4,1,109,283,
-72.2540250369789,18.5584894806559,4,1,109,283,
-72.2541055032494,18.5585708480644,4,1,109,283,
-72.2539982148888,18.5587895227826,4,1,109,283,
-72.2543093511345,18.5586013608326,4,1,109,283,
-72.2542825290444,18.5594201180754,4,1,109,283,
-72.2523781606438,18.5591861878355,4,1,109,283,
-72.2523084232094,18.5590336244627,4,1,109,283,
-72.252598101783,18.5594404598203,4,1,109,283,
-72.2527322122338,18.5596031936917,4,1,109,283,
-72.2528073140862,18.5597049022825,4,1,109,283,
-72.2527188011887,18.5580750148165,4,1,109,283,
-72.2523781606438,18.5578080270864,4,1,109,283,
-72.2519651004555,18.5587590100481,4,1,109,283,
-72.2518256255867,18.5588810609536,4,1,109,283,
-72.2521099397423,18.5576885181576,4,1,109,283,
-72.2523057410004,18.5576198640543,4,1,109,283,
-72.2516325065376,18.5576198640543,4,1,109,283,
-72.251696879554,18.5577749714336,4,1,109,283,
-72.2539821216347,18.5576249495443,4,1,109,283,
-72.2539579817536,18.5577012318774,4,1,109,283,
-72.2538936087372,18.5576630907151,4,1,109,283,
-72.2541832873108,18.5577902278896,4,1,109,283,
-72.2543066689255,18.5579122794879,4,1,109,283,
-72.2541403719666,18.5579656770347,4,1,109,283,
-72.2541725584748,18.5586598436231,4,1,109,283,
-72.2538426467659,18.5597125304244,4,1,109,283,
-72.2527483054878,18.5590539662537,4,1,109,283,
-72.2526249238732,18.5589853126996,4,1,109,283,
-72.252423758197,18.559354007388,4,1,109,283,
-72.2519141384842,18.5595192840587,4,1,109,283,
-72.2518444010498,18.5592955248354,4,1,109,283,
-72.2561654397728,18.5593412937906,4,1,109,283,
-72.2555538961174,18.5596718469965,4,1,109,283,
-72.25565582006,18.5594430025375,4,1,109,283,
-72.2566482373955,18.5590005690467,4,1,109,283,
-72.2560366937401,18.5591226197794,4,1,109,283,
-72.2556719133141,18.559031081738,4,1,109,283,
-72.2555807182076,18.5589141163915,4,1,109,283,
-72.2558113881828,18.5588530909615,4,1,109,283,
-72.2560957023384,18.5586750999993,4,1,109,283,
-72.2564014741661,18.5587361254929,4,1,109,283,
