"","precision","sensitivity","fmeasure","NPV","specificity","X6","X7","fp_errors","fn_errors","pr_errors"
"1",0.272727272727273,0.113082039911308,0.159874608150470,0.980890824785724,0.945806801246444,0.5,0.0177383592017738,0.0511068788985376,0.0505102590906747,0.101617137989212
"2",0.0342612419700214,0.998875930869748,0.941340042372881,0.360759493670886,0.126385809312639,0.187192118226601,0.985808627230575,0.823861585483047,6.40160934379509e-05,0.823925601576485
"3",0.946828609986505,0.266435986159170,0.170731707317073,0.208108108108108,0.970212168048335,0.948619315840088,0.47008547008547,0.0280914054755594,0.0417767032195293,0.0698681086950886
"4",0.121951219512195,0.193661971830986,0.99128846424055,0.946852771440075,0.352941176470588,0.0266075388026608,0.0494845360824742,0.610208618331053,0.0459212064139594,0.656129824745013
"5",0.996908809891808,0.94173082028139,0.4,0.00886917960088692,0.017353579175705,0.999156948152311,0.940857369674517,0.926684395536865,0.003318448263573,0.930002843800438
"6",0.450495049504951,0.201773835920177,0.278713629402757,0.98440354081776,0.951126798805322,0.25,0.00221729490022173,0.0460898568877404,0.0454592331816072,0.0915490900693476
"7",0.00439560439560440,0.999578474076156,0.940507667900582,0.542372881355932,0.283813747228381,0.372634643377001,0.984825066741605,0.675399218555899,2.40060350392340e-05,0.675423224590938
"8",0.95594653573377,0.457446808510638,0.190687361419069,0.269170579029734,0.985668118589293,0.950542005420054,0.382470119521912,0.0135156762193729,0.0308985763123566,0.0444142525317295
"9",0.212860310421286,0.273504273504273,0.978221160601377,0.951482848161815,0.398305084745763,0.104212860310421,0.165202108963093,0.567428199018167,0.0413741620136969,0.608802361031864
"10",0.990023886469018,0.945771812080537,0.5625,0.0199556541019956,0.0385438972162741,0.99901643951103,0.941472457627119,0.90670087282868,0.00308831249911318,0.909789185327793
"11",0.526946107784431,0.195121951219512,0.284789644012945,0.988899817338766,0.95095257397649,0.4,0.137472283813747,0.0462541595573194,0.0458380601247873,0.0920922196821067
"12",0.204620462046205,0.986932696360826,0.94752461891272,0.369294605809129,0.197339246119734,0.257225433526012,0.978642686525221,0.756948969403206,0.000744187086216164,0.757693156489422
"13",0.950593694554388,0.431818181818182,0.0842572062084257,0.141001855287570,0.992974567935928,0.944786096256685,1,0.00662533148008473,0.0323581347299635,0.0389834662100482
"14",0,0,0.999437965434874,0.940375462718139,0.125,0.00443458980044346,0.00856531049250535,0.825168472515856,0.0569503171247357,0.882118789640592
"15",0.99803287902206,0.940545550847458,0.625,0.0221729490022173,0.0428265524625268,0.999156948152311,0.941604872881356,0.902662116156838,0.00338594973371376,0.90604806589055
"16",0.263157894736842,0.0110864745011086,0.0212765957446809,0.99803287902206,0.940919327063187,0.5,0.00443458980044346,0.0557160098771186,0.0563189388861023,0.112034948763221
"17",0.00879120879120879,0.999718982717437,0.940639873083025,0.578947368421053,0.024390243902439,0.0468085106382979,0.998875930869748,0.920048471097819,1.60040233594893e-05,0.920064475121178
"18",0.941714134322427,0.484848484848485,0.212860310421286,0.295839753466872,0.985668118589293,0.951831750339213,0.5,0.0135156762193729,0.0293380421551669,0.0428537183745398
"19",0.0177383592017738,0.0342612419700214,0.998875930869748,0.941340042372881,0.625,0.0221729490022173,0.0428265524625268,0.353643631078224,0.0549991285294557,0.40864275960768
"20",0.999156948152311,0.941604872881356,0.176470588235294,0.0133037694013304,0.0247422680412371,0.99606575804412,0.940934430581365,0.91971649484536,0.00332562100794603,0.923042115853307
"21",0.621468926553672,0.24390243902439,0.350318471337580,0.990585921034144,0.953862806115546,0.305555555555556,0.024390243902439,0.0435096660614890,0.0430599958748002,0.0865696619362892
"22",0.0451745379876797,0.996487283967964,0.941582580987785,0.346153846153846,0.0598669623059867,0.102079395085066,0.992834059294647,0.886592163057898,0.000200050291993591,0.886792213349892
"23",0.943391188251001,0.549668874172185,0.368070953436807,0.440903054448871,0.980890824785724,0.960776218001652,0.294117647058824,0.0180209016258305,0.0256465004270333,0.0436674020528639
"24",0.0110864745011086,0.0213675213675214,0.998313896304623,0.940934975499934,0.5,0.0177383592017738,0.0342612419700214,0.471524841437632,0.0557334300066858,0.527258271444318
"25",0.998875930869748,0.941340042372881,0.269230769230769,0.0155210643015521,0.0293501048218029,0.997330335815653,0.941129673826571,0.915371075830707,0.00334070318938797,0.918711779020095
"26",1,0,0,0.999437965434874,0.940375462718139,0.304347826086957,0.0155210643015521,0.0562289009752438,0.0569503171247357,0.113179218099980
"27",0.0295358649789030,0.997751861739497,0.941153081510934,0.497041420118343,0.372505543237251,0.425855513307985,0.976113530982155,0.591758448456097,0.000128032186875902,0.591886480642973
"28",0.960857538035961,0.391959798994975,0.172949002217295,0.24,0.982998454404946,0.949382548514045,1,0.0160333021818051,0.0346280822718242,0.0506613844536293
"29",0,0,0.999437965434874,0.940375462718139,0.581761006289308,0.41019955654102,0.481144343302991,0.394420150384938,0.0569503171247357,0.451370467509673
"30",0.981312350709569,0.963310344827586,0.145631067961165,0.0332594235033259,0.0541516245487365,0.987635239567233,0.941594105827194,0.891982010517398,0.00208948749726616,0.894071498014664
"31",0.545112781954887,0.321507760532151,0.404463040446304,0.982998454404946,0.95809367296631,0.269709543568465,0.144124168514412,0.0395197484195879,0.0386403482043661,0.078160096623954
"32",0.187861271676301,0.975270479134467,0.947318138392248,0.394308943089431,0.215077605321508,0.278335724533716,0.979064212449066,0.740220815383245,0.00140835405563489,0.74162916943888
"33",0.95165255394701,0.479302832244009,0.48780487804878,0.483516483516484,0.966418434733736,0.967505978337319,0.436170212765957,0.0316690844748051,0.0296538688296554,0.0613229533044606
