"","X","workerID","precision","recall","fmeasure","num_annotations","dist","dist_cluster","num_workers","num_voters"
"13285",13285,1,0.642105263157895,0.258474576271186,0.368580060422961,190,0.007,0.007,1,1
"13286",13286,2,0.740506329113924,0.247881355932203,0.371428571428571,158,0.007,0.007,1,1
"13287",13287,3,0.651724137931034,0.400423728813559,0.496062992125984,290,0.007,0.007,1,1
"13288",13288,4,0.865546218487395,0.218220338983051,0.348561759729272,119,0.007,0.007,1,1
"13289",13289,5,0.841346153846154,0.370762711864407,0.514705882352941,208,0.007,0.007,1,1
"13290",13290,6,0.881856540084388,0.442796610169492,0.589562764456982,237,0.007,0.007,1,1
"13291",13291,7,0.872340425531915,0.347457627118644,0.496969696969697,188,0.007,0.007,1,1
"13292",13292,8,0.709803921568627,0.383474576271186,0.497936726272352,255,0.007,0.007,1,1
"13293",13293,9,0.872881355932203,0.218220338983051,0.349152542372881,118,0.007,0.007,1,1
"13294",13294,10,0.916167664670659,0.324152542372881,0.47887323943662,167,0.007,0.007,1,1
"13295",13295,11,0.814102564102564,0.269067796610169,0.404458598726115,156,0.007,0.007,1,1
"13296",13296,12,0.703252032520325,0.366525423728814,0.481894150417827,246,0.007,0.007,1,1
"13297",13297,13,0.853932584269663,0.161016949152542,0.270944741532977,89,0.007,0.007,1,1
"13298",13298,14,0.909090909090909,0.38135593220339,0.537313432835821,198,0.007,0.007,1,1
"13299",13299,15,0.97175141242938,0.364406779661017,0.530046224961479,177,0.007,0.007,1,1
"13300",13300,16,0.91025641025641,0.150423728813559,0.258181818181818,78,0.007,0.007,1,1
"13301",13301,17,0.839344262295082,0.542372881355932,0.658944658944659,305,0.007,0.007,1,1
"13302",13302,18,0.797058823529412,0.574152542372881,0.667487684729064,340,0.007,0.007,1,1
"13303",13303,19,0.884422110552764,0.372881355932203,0.524590163934426,199,0.007,0.007,1,1
"13304",13304,20,0.86206896551724,0.582627118644068,0.695322376738306,319,0.007,0.007,1,1
"13305",13305,21,0.359223300970874,0.0783898305084746,0.128695652173913,103,0.007,0.007,1,1
"13306",13306,22,0.91044776119403,0.516949152542373,0.65945945945946,268,0.007,0.007,1,1
"13307",13307,23,0.58267716535433,0.313559322033898,0.40771349862259,254,0.007,0.007,1,1
"13308",13308,24,0.830645161290323,0.436440677966102,0.572222222222222,248,0.007,0.007,1,1
"13309",13309,25,0.728051391862955,0.720338983050847,0.724174653887114,467,0.007,0.007,1,1
"13310",13310,26,0.946808510638298,0.188559322033898,0.314487632508834,94,0.007,0.007,1,1
"13311",13311,27,0.0405405405405405,0.00635593220338983,0.010989010989011,74,0.007,0.007,1,1
"13312",13312,28,0.891566265060241,0.156779661016949,0.266666666666667,83,0.007,0.007,1,1
"13313",13313,29,0.782142857142857,0.463983050847458,0.582446808510638,280,0.007,0.007,1,1
"13314",13314,30,0,0,0,72,0.007,0.007,1,1
"13315",13315,31,0.903225806451613,0.11864406779661,0.209737827715356,62,0.007,0.007,1,1
"13316",13316,32,0.733766233766234,0.478813559322034,0.57948717948718,308,0.007,0.007,1,1
"13317",13317,33,0.68389662027833,0.728813559322034,0.705641025641026,503,0.007,0.007,1,1
"13318",13318,34,0.91907514450867,0.336864406779661,0.493023255813954,173,0.007,0.007,1,1
"13319",13319,35,0.808080808080808,0.508474576271186,0.624187256176853,297,0.007,0.007,1,1
"13320",13320,36,0.8644578313253,0.608050847457627,0.713930348258706,332,0.007,0.007,1,1
"13321",13321,37,0.73741794310722,0.713983050847458,0.72551130247578,457,0.007,0.007,1,1
"13322",13322,38,0.696902654867257,0.667372881355932,0.681818181818182,452,0.007,0.007,1,1
"13323",13323,39,0.584,0.309322033898305,0.404432132963989,250,0.007,0.007,1,1
"13324",13324,40,0.813793103448276,0.5,0.619422572178478,290,0.007,0.007,1,1
"13325",13325,41,0.743589743589744,0.73728813559322,0.740425531914894,468,0.007,0.007,1,1
"13326",13326,42,0.775,0.26271186440678,0.392405063291139,160,0.007,0.007,1,1
"13327",13327,1,0.861386138613861,0.36864406779661,0.516320474777448,202,0.007,0.007,2,1
"13328",13328,2,0.681640625,0.739406779661017,0.709349593495935,512,0.007,0.007,2,1
"13329",13329,3,0.832635983263598,0.421610169491525,0.559774964838256,239,0.007,0.007,2,1
"13330",13330,4,0.793233082706767,0.447033898305085,0.571815718157182,266,0.007,0.007,2,1
"13331",13331,5,0.810909090909091,0.472457627118644,0.597054886211513,275,0.007,0.007,2,1
"13332",13332,6,0.654545454545455,0.457627118644068,0.538653366583541,330,0.007,0.007,2,1
"13333",13333,7,0.93103448275862,0.400423728813559,0.56,203,0.007,0.007,2,1
"13334",13334,8,0.793785310734463,0.595338983050847,0.680387409200969,354,0.007,0.007,2,1
"13335",13335,9,0.823293172690763,0.434322033898305,0.568654646324549,249,0.007,0.007,2,1
"13336",13336,10,0.858181818181818,0.5,0.63186077643909,275,0.007,0.007,2,1
"13337",13337,11,0.842424242424242,0.588983050847458,0.693266832917706,330,0.007,0.007,2,1
"13338",13338,12,0.598086124401914,0.264830508474576,0.367107195301028,209,0.007,0.007,2,1
"13339",13339,13,0.734210526315789,0.591101694915254,0.654929577464789,380,0.007,0.007,2,1
"13340",13340,14,0.61878453038674,0.474576271186441,0.537170263788969,362,0.007,0.007,2,1
"13341",13341,15,0.734309623430962,0.74364406779661,0.738947368421053,478,0.007,0.007,2,1
"13342",13342,16,0.697841726618705,0.616525423728814,0.65466816647919,417,0.007,0.007,2,1
"13343",13343,17,0.654986522911051,0.514830508474576,0.576512455516014,371,0.007,0.007,2,1
"13344",13344,18,0.702947845804989,0.656779661016949,0.67907995618839,441,0.007,0.007,2,1
"13345",13345,19,0.619277108433735,0.544491525423729,0.579481397970688,415,0.007,0.007,2,1
"13346",13346,20,0.640901771336554,0.84322033898305,0.728270814272644,621,0.007,0.007,2,1
"13347",13347,21,0.758713136729222,0.599576271186441,0.669822485207101,373,0.007,0.007,2,1
"13348",13348,22,0.691176470588235,0.597457627118644,0.640909090909091,408,0.007,0.007,2,1
"13349",13349,23,0.864321608040201,0.364406779661017,0.512667660208644,199,0.007,0.007,2,1
"13350",13350,24,0.729230769230769,0.502118644067797,0.594730238393977,325,0.007,0.007,2,1
"13351",13351,25,0.648979591836735,0.336864406779661,0.443514644351464,245,0.007,0.007,2,1
"13352",13352,26,0.6875,0.675847457627119,0.681623931623932,464,0.007,0.007,2,1
"13353",13353,27,0.813888888888889,0.620762711864407,0.704326923076923,360,0.007,0.007,2,1
"13354",13354,28,0.835329341317365,0.591101694915254,0.692307692307692,334,0.007,0.007,2,1
"13355",13355,29,0.793565683646113,0.627118644067797,0.700591715976331,373,0.007,0.007,2,1
"13356",13356,30,0.689338235294118,0.794491525423729,0.738188976377953,544,0.007,0.007,2,1
"13357",13357,31,0.520958083832335,0.36864406779661,0.431761786600496,334,0.007,0.007,2,1
"13358",13358,32,0.883636363636364,0.514830508474576,0.650602409638554,275,0.007,0.007,2,1
"13359",13359,33,0.673575129533679,0.550847457627119,0.606060606060606,386,0.007,0.007,2,1
"13360",13360,34,0.745152354570637,0.569915254237288,0.645858343337335,361,0.007,0.007,2,1
"13361",13361,35,0.874269005847953,0.633474576271186,0.734643734643735,342,0.007,0.007,2,1
"13362",13362,36,0.651327433628319,0.779661016949153,0.709739633558341,565,0.007,0.007,2,1
"13363",13363,37,0.734782608695652,0.358050847457627,0.481481481481482,230,0.007,0.007,2,1
"13364",13364,38,0.79552715654952,0.527542372881356,0.634394904458599,313,0.007,0.007,2,1
"13365",13365,39,0.802631578947368,0.516949152542373,0.628865979381443,304,0.007,0.007,2,1
"13366",13366,40,0.810126582278481,0.271186440677966,0.406349206349206,158,0.007,0.007,2,1
"13367",13367,41,0.675229357798165,0.779661016949153,0.72369714847591,545,0.007,0.007,2,1
"13368",13368,42,0.671314741035857,0.713983050847458,0.691991786447639,502,0.007,0.007,2,1
"13369",13369,43,0.675675675675676,0.741525423728814,0.707070707070707,518,0.007,0.007,2,1
"13370",13370,44,0.859504132231405,0.440677966101695,0.582633053221288,242,0.007,0.007,2,1
"13371",13371,45,0.631205673758865,0.377118644067797,0.472148541114058,282,0.007,0.007,2,1
"13372",13372,46,0.633147113594041,0.720338983050847,0.673934588701685,537,0.007,0.007,2,1
"13373",13373,47,0.544025157232704,0.366525423728814,0.437974683544304,318,0.007,0.007,2,1
