lon,lat,status,iteration,instance,assignID,parentID
-72.2538567283632,18.5597201585671,4,1,117,223,
-72.2536931136133,18.5593463792312,4,1,117,223,
-72.25381113081,18.5594913141729,4,1,117,223,
-72.2535348632815,18.559272640354,4,1,117,223,
-72.2531539896013,18.5594074044848,4,1,117,223,
-72.2531030276301,18.5593031529967,4,1,117,223,
-72.2540069320681,18.5588098646038,4,1,117,223,
-72.2541034915926,18.5585733907965,4,1,117,223,
-72.2540364363672,18.5584869379249,4,1,117,223,
-72.2539801099779,18.5584081132097,4,1,117,223,
-72.2538755038264,18.5584894806571,4,1,117,223,
-72.2537682154658,18.5585555916795,4,1,117,223,
-72.2536475160601,18.5586191599461,4,1,117,223,
-72.252370784569,18.5578054843456,4,1,117,223,
-72.2523090937617,18.55904379536,4,1,117,223,
-72.2519577243807,18.5587513818651,4,1,117,223,
-72.2527436116221,18.5590743080436,4,1,117,223,
-72.2524351575854,18.5593565501087,4,1,117,223,
-72.2526121833803,18.5594633442818,4,1,117,223,
-72.2530520656588,18.5599413745237,4,1,117,223,
-72.253092298794,18.5600481683308,4,1,117,223,
-72.2527221539499,18.5595981082623,4,1,117,223,
-72.2527999380114,18.5596947314279,4,1,117,223,
-72.2566509375732,18.5585683053335,4,1,117,223,
-72.2561976442497,18.55843354054,4,1,117,223,
-72.2566536197822,18.5590259962905,4,1,117,223,
-72.2560984025162,18.5586903563754,4,1,117,223,
-72.2555673251312,18.5583826858733,4,1,117,223,
-72.255347383992,18.5583470875976,4,1,117,223,
-72.2553822527092,18.5585555916783,4,1,117,223,
-72.2556880245369,18.5590412526346,4,1,117,223,
-72.2560098896187,18.559135333393,4,1,117,223,
-72.2561681399505,18.5593616355455,4,1,117,223,
-72.2552240023773,18.5599947714339,4,1,117,223,
-72.2547975311439,18.5599591734945,4,1,117,223,
-72.2550845275085,18.5597938972498,4,1,117,223,
-72.2555673251312,18.559692188712,4,1,117,223,
-72.2552240023773,18.5595701383866,4,1,117,223,
-72.2549182305496,18.5595955655449,4,1,117,223,
-72.2544917593162,18.5596235354147,4,1,117,223,
-72.2551167140167,18.5592217859361,4,1,117,223,
-72.2554573545616,18.559252298588,4,1,117,223,
-72.2557068,18.5594455452561,4,1,117,223,
-72.255358112828,18.5590997352743,4,1,117,223,
-72.2549584636848,18.5590234535664,4,1,117,223,
-72.2547438869636,18.5591785596701,4,1,117,223,
-72.2545963654678,18.5588530909621,4,1,117,223,
-72.2544783482712,18.5588912318584,4,1,117,223,
-72.2548189888161,18.5584157414084,4,1,117,223,
-72.2550335655372,18.5581385832622,4,1,117,223,
-72.2547948489349,18.5580826430313,4,1,117,223,
-72.2548887262504,18.5579834762132,4,1,117,223,
-72.2550335655372,18.5577546294902,4,1,117,223,
-72.2543496022384,18.5581563824227,4,1,117,223,
-72.2566402087372,18.5569735728033,4,1,117,223,
-72.2564926872413,18.5572787030956,4,1,117,223,
-72.2569057474296,18.5571693648036,4,1,117,223,
-72.2555887828033,18.5571286807701,4,1,117,223,
-72.2561574111145,18.556915089435,4,1,117,223,
-72.2552588710945,18.5566303005725,4,1,117,223,
-72.2549021372955,18.5563455112348,4,1,117,223,
-72.2549450526398,18.5575126359502,4,1,117,223,
-72.2560447583359,18.5561624321239,4,1,117,223,
-72.2564175853889,18.5564039947983,4,1,117,223,
-72.2569942603271,18.5568159219386,4,1,117,223,
-72.2569003830116,18.5565921591709,4,1,117,223,
