"","workerID","cluster","lon","lat"
"1",1,0,-72.2540800222637,18.5598523796316
"2",1,0,-72.2538010725262,18.5600456256202
"3",1,0,-72.2538600811245,18.5597176158521
"4",1,0,-72.2531063803913,18.5600659672904
"5",1,0,-72.252862299371,18.5600278266567
"6",1,0,-72.252873028207,18.5602134443275
"7",1,0,-72.2527791508915,18.5601041079157
"8",1,0,-72.2538037547352,18.5594760578679
"9",1,0,-72.2536911019566,18.5593362083523
"10",1,0,-72.2535462626698,18.5592395849837
"11",1,0,-72.2533906945469,18.5594302889481
"12",1,0,-72.2533343681576,18.5593489219494
"13",1,0,-72.2531519779446,18.5594074044836
"14",1,0,-72.2531144270184,18.5592624694707
"15",1,0,-72.2528247484448,18.5597099877105
"16",1,0,-72.2527415999653,18.5595981082606
"17",1,0,-72.2526209005596,18.5594506306917
"18",1,0,-72.2524385103466,18.5593641782646
"19",1,0,-72.2523795017483,18.5592243286573
"20",1,0,-72.2539754161122,18.5600608818731
"21",1,0,-72.2523124465229,18.5590565089773
"22",1,0,-72.2518645176174,18.5593107811553
"23",1,0,-72.2517116317036,18.5593082384354
"24",1,0,-72.2519503483059,18.5595396257916
"25",1,0,-72.2526262649777,18.5601651328983
"26",1,0,-72.2517196783306,18.5587717236881
"27",1,0,-72.2518189200642,18.5588759755009
"28",1,0,-72.2519503483059,18.5587590100481
"29",1,0,-72.2527040490391,18.5588861464061
"30",1,0,-72.2527389177563,18.5590768507655
"31",1,0,-72.252693320203,18.5581360405248
"32",1,0,-72.2527684220555,18.5580902712456
"34",1,0,-72.2518591531994,18.5578995657838
"35",1,0,-72.2519074329617,18.5581131558867
"36",1,0,-72.2521085986378,18.5581614678968
"37",1,0,-72.2516177543881,18.5582886046999
"40",1,0,-72.2516740807774,18.5576605479706
"41",1,0,-72.2521246918919,18.5576910609016
"42",1,0,-72.2527603754284,18.5576859754135
"43",1,0,-72.2533880123379,18.5588988600367
"44",1,0,-72.2536589154484,18.558621702675
"45",1,0,-72.253766203809,18.5585505062159
"46",1,0,-72.2538815387966,18.55849456612
"47",1,0,-72.2539807805302,18.5584055704752
"48",1,0,-72.2540558823826,18.558502194316
"49",1,0,-72.2541148909809,18.5585810189877
"50",1,0,-72.2539780983212,18.5586725572705
"51",1,0,-72.2538654455425,18.5587335827651
"52",1,0,-72.253771568227,18.5588073218753
"53",1,0,-72.2536803731205,18.5588403773281
"54",1,0,-72.2540022382023,18.5588098646026
"55",1,0,-72.2541819462063,18.5586776427292
"56",1,0,-72.254313374448,18.558621702675
"57",1,0,-72.254136348653,18.5579758479941
"58",1,0,-72.253412152219,18.5585428780221
"60",1,0,-72.2542409548046,18.5578944803019
"61",1,0,-72.2542060860874,18.5578105698286
"65",1,0,-72.2523151287319,18.5576452915039
"67",1,0,-72.2570116946857,18.5588785182273
"68",1,0,-72.2566737363499,18.558990398149
"69",1,0,-72.2565342614811,18.55912261978
"70",1,0,-72.2568239400547,18.558825120966
"71",1,0,-72.2563626001041,18.5591683887823
"72",1,0,-72.2561721632641,18.5593438365107
"73",1,0,-72.2559602687519,18.5594023190467
"74",1,0,-72.2560273239773,18.5591531324496
"75",1,0,-72.2558878491085,18.5592853539546
"76",1,0,-72.255791289584,18.5592828112343
"77",1,0,-72.2556813190143,18.5594328316662
"78",1,0,-72.2555579373997,18.5596667615681
"79",1,0,-72.255252165572,18.5599820578849
"80",1,0,-72.2550241778057,18.5601549620694
"81",1,0,-72.2550885508221,18.5597633846948
"82",1,0,-72.2547827789944,18.5599846005948
"83",1,0,-72.2549142072361,18.5595955655449
"84",1,0,-72.2548391053837,18.5597227012797
"85",1,0,-72.2545118758838,18.5596286208451
"86",1,0,-72.254356307761,18.5594328316662
"87",1,0,-72.2544475028675,18.5592675549118
"88",1,0,-72.2546862194698,18.5591658460603
"89",1,0,-72.2547747323673,18.5589929408736
"90",1,0,-72.2551207373302,18.5592472131463
"91",1,0,-72.2553192207973,18.5591099061661
"92",1,0,-72.255431873576,18.5592548413087
"93",1,0,-72.2557081411045,18.5590361671867
"94",1,0,-72.2555874416988,18.5589166591179
"95",1,0,-72.2558100650471,18.5588480055086
"96",1,0,-72.2549598047893,18.5590361671867
"97",1,0,-72.2545896599453,18.5588556336888
"98",1,0,-72.2544582317036,18.5588810609536
"99",1,0,-72.2544957826298,18.5590031117718
"100",1,0,-72.2552172968548,18.5595650529545
"101",1,0,-72.2544743249576,18.5602820973874
"102",1,0,-72.2552092502277,18.559010739945
"103",1,0,-72.2548820207279,18.5588734327745
"104",1,0,-72.2546835372608,18.5585072797798
"105",1,0,-72.2543750832241,18.5581589251597
"106",1,0,-72.2548096010845,18.558425912341
"107",1,0,-72.2546352574985,18.5580445019542
"108",1,0,-72.2547827789944,18.5580673866015
"109",1,0,-72.2549034784,18.5582682628178
"110",1,0,-72.2550509998958,18.5583699722042
"111",1,0,-72.2553782293957,18.5583343739259
"112",1,0,-72.2553433606785,18.5582631773469
"113",1,0,-72.2553728649776,18.5585632198715
"114",1,0,-72.2550617287319,18.5587539245918
"115",1,0,-72.2551019618671,18.5586344163253
"116",1,0,-72.2555793950718,18.5583953995414
"117",1,0,-72.2555740306537,18.5585174507069
"118",1,0,-72.255614263789,18.5587310400366
"119",1,0,-72.2554533312481,18.5586700145411
"120",1,0,-72.2559978196781,18.5584462542043
"121",1,0,-72.2550161311786,18.5581360405248
"122",1,0,-72.2557805607479,18.5583089465796
"123",1,0,-72.2557081411045,18.5581716388445
"124",1,0,-72.2558422515552,18.5581919807382
