"","X","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"13778",13778,0.5,0.0334928229665072,0.062780269058296,28,1,2,0.01,0.01
"13779",13779,0.857638888888889,0.590909090909091,0.69971671388102,288,1,2,0.01,0.01
"13780",13780,0.571428571428571,0.00956937799043062,0.0188235294117647,7,1,2,0.01,0.01
"13781",13781,0.810810810810811,0.358851674641148,0.497512437810945,185,1,2,0.01,0.01
"13782",13782,0.844444444444444,0.090909090909091,0.16414686825054,45,1,2,0.01,0.01
"13783",13783,0.84037558685446,0.42822966507177,0.567353407290016,213,1,2,0.01,0.01
"13784",13784,0.843003412969283,0.590909090909091,0.69479606188467,293,1,2,0.01,0.01
"13785",13785,0.833333333333333,0.107655502392345,0.190677966101695,54,1,2,0.01,0.01
"13786",13786,0.7,0.4688995215311,0.561604584527221,280,1,2,0.01,0.01
"13787",13787,0.855595667870036,0.566985645933014,0.682014388489209,277,1,2,0.01,0.01
"13788",13788,0.802281368821293,0.504784688995215,0.619676945668135,263,1,2,0.01,0.01
"13789",13789,0.93939393939394,0.444976076555024,0.603896103896104,198,1,2,0.01,0.01
"13790",13790,0.759162303664921,0.34688995215311,0.476190476190476,191,1,2,0.01,0.01
"13791",13791,0.897727272727273,0.37799043062201,0.531986531986532,176,1,2,0.01,0.01
"13792",13792,0.863095238095238,0.69377990430622,0.769230769230769,336,1,2,0.01,0.01
"13793",13793,0.861313868613139,0.564593301435407,0.682080924855491,274,1,2,0.01,0.01
"13794",13794,0.858181818181818,0.564593301435407,0.681096681096681,275,1,2,0.01,0.01
"13795",13795,0.794007490636704,0.507177033492823,0.618978102189781,267,1,2,0.01,0.01
"13796",13796,0.77906976744186,0.641148325358852,0.703412073490814,344,1,2,0.01,0.01
"13797",13797,0.842857142857143,0.423444976076555,0.563694267515924,210,1,2,0.01,0.01
"13798",13798,0.91304347826087,0.0502392344497608,0.0952380952380952,23,1,2,0.01,0.01
"13799",13799,0.91,0.65311004784689,0.760445682451254,300,1,2,0.01,0.01
"13800",13800,0.912751677852349,0.650717703349282,0.759776536312849,298,1,2,0.01,0.01
"13801",13801,0.427601809954751,0.452153110047847,0.43953488372093,442,1,2,0.01,0.01
"13802",13802,0.909090909090909,0.287081339712919,0.436363636363636,132,1,2,0.01,0.01
"13803",13803,0.842809364548495,0.602870813397129,0.702928870292887,299,1,2,0.01,0.01
"13804",13804,0.914285714285714,0.076555023923445,0.141280353200883,35,1,2,0.01,0.01
"13805",13805,0.89247311827957,0.397129186602871,0.549668874172185,186,1,2,0.01,0.01
"13806",13806,0.831417624521073,0.519138755980861,0.639175257731959,261,1,2,0.01,0.01
"13807",13807,0.803846153846154,0.5,0.616519174041298,260,1,2,0.01,0.01
"13808",13808,0.849112426035503,0.686602870813397,0.759259259259259,338,1,2,0.01,0.01
"13809",13809,0.696078431372549,0.339712918660287,0.456591639871383,204,1,2,0.01,0.01
"13810",13810,0.909090909090909,0.311004784688995,0.463458110516934,143,1,2,0.01,0.01
"13811",13811,0.814925373134328,0.65311004784689,0.725099601593626,335,1,2,0.01,0.01
"13812",13812,0.537974683544304,0.203349282296651,0.295138888888889,158,1,2,0.01,0.01
"13813",13813,0.840136054421769,0.590909090909091,0.693820224719101,294,1,2,0.01,0.01
"13814",13814,0.825,0.0789473684210526,0.14410480349345,40,1,2,0.01,0.01
"13815",13815,0.873563218390805,0.545454545454545,0.671575846833579,261,1,2,0.01,0.01
"13816",13816,0.578947368421053,0.157894736842105,0.24812030075188,114,1,2,0.01,0.01
"13817",13817,0.845360824742268,0.588516746411483,0.693935119887165,291,1,2,0.01,0.01
"13818",13818,1,0.0574162679425837,0.108597285067873,24,1,2,0.01,0.01
"13819",13819,0.888888888888889,0.0574162679425837,0.107865168539326,27,1,2,0.01,0.01
"13820",13820,0.72972972972973,0.0645933014354067,0.118681318681319,37,1,2,0.01,0.01
"13821",13821,1,0.110047846889952,0.198275862068966,46,1,2,0.01,0.01
"13822",13822,0.902777777777778,0.466507177033493,0.615141955835962,216,1,2,0.01,0.01
"13823",13823,0.844192634560907,0.712918660287081,0.773022049286641,353,1,2,0.01,0.01
"13824",13824,0.88034188034188,0.492822966507177,0.631901840490798,234,1,2,0.01,0.01
"13825",13825,0.788888888888889,0.339712918660287,0.474916387959866,180,1,2,0.01,0.01
"13826",13826,0.845921450151057,0.669856459330144,0.747663551401869,331,1,2,0.01,0.01
"13827",13827,0.810810810810811,0.358851674641148,0.497512437810945,185,1,2,0.01,0.01
"13828",13828,0.94186046511628,0.19377990430622,0.321428571428571,86,1,2,0.01,0.01
"13829",13829,0.936936936936937,0.248803827751196,0.393194706994329,111,1,2,0.01,0.01
"13830",13830,0.862453531598513,0.555023923444976,0.675400291120815,269,1,2,0.01,0.01
