lon,lat,assignID,workerID,duration,difficulty
-72.2530111619713,18.5590412526346,60,AD6IMLL0KR9E4,0.01430201530456543,70
-72.2556719133141,18.5588225782389,60,AD6IMLL0KR9E4,0.01430201530456543,70
-72.2557201930763,18.5562594900151,60,AD6IMLL0KR9E4,0.01430201530456543,70
-72.2529092380287,18.5562493189534,60,AD6IMLL0KR9E4,0.01430201530456543,70
-72.2530969926598,18.5592497558671,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2532096454384,18.55942774623,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2533062049629,18.5594887714545,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.253493959594,18.559290439395,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2537192651512,18.5593362083523,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2538426467659,18.5595040277572,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.25276976316,18.5581156986245,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2525283643486,18.5579783907338,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2523567029717,18.557815655313,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2521421262505,18.5577088601088,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2523137876274,18.5576732616925,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2518202611687,18.5580038181293,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2520187446358,18.5587920655103,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2517666169884,18.5588683473217,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2522762367012,18.5590717653187,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2524049827339,18.5591836451137,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2525390931847,18.5594379171023,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2524908134224,18.5593616355455,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.25276976316,18.5596159072689,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2528502294304,18.5597074449965,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2545454034965,18.5596565907094,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2544327507179,18.5592395849837,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2546902427833,18.5591734742263,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2548779974144,18.5593768918596,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2550764808815,18.5597938972498,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2552910576027,18.5599464599428,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2549155483406,18.5595955655449,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2547975311439,18.5599871433046,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2550496587913,18.5601651328983,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2554949054878,18.5596565907094,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2551837692421,18.5595701383866,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2551301250618,18.5592141577723,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2553178796928,18.559148047005,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2554788122337,18.5592090723296,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2556504736107,18.55942774623,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2561332712334,18.5593514646687,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2560420761268,18.559148047005,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2557202110451,18.5590310817387,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2558489570778,18.5588581764154,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2555592785042,18.5589446290989,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2556343803566,18.5586496727044,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2554251680534,18.5586395017852,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2555431852501,18.5584004850084,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.255355430619,18.5582835192296,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.255344701783,18.5581055276734,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.255344701783,18.5579682197746,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2553178796928,18.5577749714336,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.255167675988,18.5579021085247,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2551033029716,18.5577648004622,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2548458109062,18.5579377068932,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2548458109062,18.5577851424043,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2547277937095,18.5579478778543,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.254631234185,18.5579122794878,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.254631234185,18.5577088601088,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2544327507179,18.5577953133745,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2550174722832,18.5581563824227,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2547117004555,18.5582428354617,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.254802895562,18.5584462542043,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.2546473274391,18.5585479634847,25,AKWUF2IV91LLI,2.3803961277008057,13
-72.254620505349,18.5588378346012,25,AKWUF2IV91LLI,2.3803961277008057,13
