lon,lat,taskID
-72.2566027175785,18.5537403775362,204
-72.257053328693,18.5552304535163,204
-72.2554708253742,18.5552762235623,204
-72.2561789285542,18.5563492733472,204
-72.2544837724568,18.556903595001,204
-72.2561681997181,18.5593547939422,204
-72.2534055244328,18.5609363579742,204
-72.2554600965382,18.5586733438279,204
-72.2554010879398,18.5585716346223,204
-72.2517854701878,18.5574121453934,204
-72.2516111266018,18.5556474690377,204
-72.2517935168148,18.5550397448589,204
-72.2518793475033,18.5560441413932,204
-72.2518391143681,18.5560797401492,204
-72.2518552076222,18.556194164672,204
-72.2518096100689,18.5559678583195,204
-72.2516728174091,18.5559475161607,204
-72.2519759070278,18.5557568083046,204
-72.2520536910893,18.5558814041281,204
-72.2521261107327,18.5560314275499,204
-72.2521770727039,18.5561127961304,204
-72.2562862169148,18.5560517696987,204
-72.2564149629475,18.5561153388979,204
-72.2545508276821,18.5554008197364,204
-72.2552750241161,18.5553143652578,204
-72.2550953161121,18.5555203302671,204
-72.2553635370136,18.5554643891781,204
-72.2553715836407,18.5544015050028,204
-72.2564337384106,18.5538471752233,204
-72.2563023101688,18.5536056089305,204
-72.2563640009762,18.5537073210954,204
-72.2570640575291,18.5537658055628,204
-72.2569004427792,18.5539082024431,204
-72.2568816673161,18.5507957864142,204
-72.2570291888119,18.5509178430137,204
-72.2570667397381,18.5515560958941,204
-72.2570747863651,18.5517620654378,204
-72.2565946709515,18.5513170691984,204
-72.2562003862263,18.5517391799453,204
-72.2563532721401,18.5515052391783,204
-72.2569701802136,18.5519451492682,204
-72.2562352549435,18.5521129759401,204
-72.2562620770336,18.5522146889944,204
-72.2566483151318,18.5521358613826,204
-72.2566188108326,18.5523011450429,204
-72.2560287248493,18.5529037933408,204
-72.2559831272961,18.5528020806971,204
-72.256329132259,18.552329116108,204
-72.2565276157261,18.5525045708665,204
-72.2567475568653,18.5525325418983,204
-72.2566107642056,18.5527232533566,204
-72.2566322218777,18.5533818419544,204
-72.256862891853,18.5528758223698,204
-72.2567556034924,18.5529877062262,204
-72.256146742046,18.5529215930472,204
-72.2559884917141,18.5530792475087,204
-72.2559563052059,18.5533614994874,204
-72.2557390462757,18.5533513282531,204
-72.255977762878,18.5535725524639,204
-72.2558087837101,18.5537200351118,204
-72.2556371223332,18.5536056089305,204
-72.2562701236607,18.5538649748313,204
-72.2560179960133,18.5539438016446,204
-72.2557149063946,18.553981943638,204
-72.2554922830464,18.553999743232,204
-72.2558195125462,18.5539921148348,204
-72.2559133898617,18.5541294259323,204
-72.2560930978657,18.5541573966978,204
-72.2563720476032,18.5540251712202,204
-72.2570238243939,18.5541726534771,204
-72.256696594894,18.5546074711135,204
-72.2565544378162,18.5549939747494,204
-72.2565946709515,18.5549024344937,204
-72.2566644083859,18.554823608123,204
-72.2568065654636,18.5547473245039,204
-72.2567475568653,18.5548744638502,204
-72.2566107642056,18.5546990115274,204
-72.2561601530911,18.5545235590243,204
-72.2560206782223,18.5545235590243,204
-72.2555566560627,18.5543684486902,204
-72.2554466854931,18.5546201850628,204
-72.2552026044727,18.5545896715829,204
-72.2550148498417,18.5548058086149,204
-72.2549504768253,18.5571705841456,204
-72.2550215553642,18.5571349856171,204
-72.2553782891632,18.5571413424977,204
-72.2554077934624,18.5570663312911,204
-72.2553273271919,18.5572049112911,204
-72.2553796302677,18.5572150822958,204
-72.2551449369789,18.5572799224368,204
-72.2546996902825,18.5577096466702,204
-72.2552307676674,18.5575964945362,204
-72.2553809713722,18.5577744866233,204
-72.2554896008373,18.5575647102154,204
-72.2555700671078,18.5574935133153,204
-72.2563519310356,18.5577566874229,204
-72.2562687825562,18.5577503305652,204
-72.2569862734676,18.5577045611826,204
-72.256606740892,18.5572341529281,204
-72.2568186354042,18.5573651045454,204
-72.2567260991932,18.5567878995747,204
-72.2561923395992,18.5567764571657,204
-72.2561641764046,18.556908680512,204
-72.2563693653942,18.5565539657267,204
-72.255967034042,18.5567688288926,204
-72.2559495996834,18.5568196840402,204
-72.2545508276821,18.5572557663087,204
-72.2544328104855,18.5571998257885,204
-72.2542812656761,18.5570866733165,204
